   0       2.895600000
   1       1.737360000
   2       3.657600000
   3       6.278880000
   4       4.358640000
   5       5.303520000
   6       6.278880000
   7       4.114800000
   8       1.706880000
   9       1.859280000
  10       1.097280000
  11      -0.304800000
  12       7.711440000
  13      17.678400000
  14       1.524000000
  15       3.688080000
  16       2.987040000
  17       3.810000000
  18       2.621280000
  19       4.632960000
  20       3.992880000
  21      -0.304800000
  22       8.260080000
  23      -0.304800000
  24       3.535680000
  25      -0.304800000
  26       3.749040000
  27       0.000000000
  28       0.579120000
  29       6.126480000
  30      10.393680000
  31       1.737360000
  32      -0.304800000
  33       4.846320000
  34       5.120640000
  35       6.797040000
  36       8.503920000
  37       4.389120000
  38       4.267200000
  39       3.169920000
  40       1.767840000
  41       4.389120000
  42       1.615440000
  43       1.584960000
  44       3.749040000
  45       3.444240000
