   0       3.322320000
   1       2.103120000
   2       4.693920000
   3       7.193280000
   4       5.821680000
   5       6.339840000
   6       7.650480000
   7       6.035040000
   8       2.834640000
   9       2.438400000
  10       1.371600000
  11      -0.304800000
  12      11.064240000
  13      22.585680000
  14       2.225040000
  15       5.486400000
  16       4.053840000
  17       4.419600000
  18       3.413760000
  19       6.217920000
  20       4.175760000
  21       3.474720000
  22      20.574000000
  23       9.814560000
  24       4.267200000
  25      -0.304800000
  26       4.175760000
  27       6.492240000
  28       5.212080000
  29      17.404080000
  30      24.719280000
  31       2.804160000
  32      -0.304800000
  33       7.162800000
  34       8.961120000
  35      31.760160000
  36      19.293840000
  37       6.400800000
  38       5.974080000
  39       5.151120000
  40       2.194560000
  41       6.583680000
  42       4.145280000
  43       2.682240000
  44       6.339840000
  45       4.907280000
