       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 855.74692      796.59933      807.47840      856.83833      847.97000      832.30725      839.23035      886.42549      1002.46131     995.09079      1052.14953     1011.93501     961.74782      999.44478      1020.97111     952.57403      972.95824      984.59969      1013.71059     710.92205      770.36615      681.36635      747.90741      752.00686      645.64880      720.67729      875.71398      1067.66621     1155.31417     801.38925      652.30051      955.15187      987.45755      906.88039      860.93222      742.50438      785.24148      905.83305      857.34996      917.17986      820.67739      902.39574      984.71030      1003.09150     953.60969      904.48721      
1957 09 30 564.86056      528.19974      583.54933      660.66612      630.59165      618.48245      628.96857      652.31422      755.26575      672.48758      628.82763      761.31259      711.78047      746.85783      703.98064      719.96107      726.37265      739.66300      771.13011      457.49200      537.62561      437.15055      516.37751      498.80790      411.02505      498.12289      647.36002      817.33473      916.28840      514.31339      436.98907      709.14540      757.16700      686.89690      612.40207      489.87489      519.78932      680.72972      646.67893      693.32282      515.67528      664.56949      750.78892      755.30135      720.59095      670.49109      
1958 09 30 459.09760      426.14667      469.10725      545.01048      523.92574      501.85986      506.68965      540.11886      632.24754      588.19557      519.55108      673.31553      605.36266      649.52664      622.85505      590.30768      609.74805      641.19530      670.25767      352.20823      431.14665      303.11372      402.16770      374.30972      310.80117      363.18012      555.68460      692.09897      790.81109      402.10172      308.89529      615.13970      672.96758      566.01286      517.03555      384.24481      428.09599      563.10864      527.90198      582.51319      410.09606      553.21813      630.49925      631.46343      591.71243      575.89081      
1959 09 30 857.62734      812.51858      857.59713      931.41410      923.45859      887.90630      898.03536      936.28212      1050.81738     980.89949      923.15463      1081.76842     1023.94417     1057.20320     1031.15881     997.98862      1016.59211     1045.20404     1077.86382     674.43962      764.67216      660.01382      766.67304      730.16152      616.77566      749.63293      918.39734      1186.32179     1311.81566     765.61115      678.55673      1006.42650     1067.23559     957.77710      891.63769      748.98693      785.66327      964.60526      926.41582      965.19205      796.51507      967.30293      1060.71687     1061.11464     1014.94938     997.62319      
1960 09 30 685.39542      640.33023      687.95079      758.14896      738.08782      716.03269      720.56896      749.50203      858.64261      789.63367      726.18560      894.92385      818.07493      832.95875      842.68739      812.17050      827.17344      851.09945      885.79181      476.67881      565.66358      484.43270      593.68851      548.96069      424.78097      581.66248      732.50977      963.66173      1093.78706     573.94544      495.58665      818.22527      882.45227      789.90781      703.92336      575.53036      605.37238      803.78792      745.51558      799.52947      616.52715      779.62547      872.68702      868.41748      833.83320      796.81208      
1961 09 30 741.25276      699.48698      748.24889      817.19373      800.10855      784.30805      790.52495      833.35433      960.40749      905.06146      843.46520      1009.07075     950.15845      981.95936      948.32827      895.48565      925.94525      957.46660      996.83137      615.55135      706.63935      602.92251      701.45511      667.18758      566.79064      682.47480      858.14654      1076.78384     1186.07772     697.05518      602.02154      935.58008      996.36546      865.76938      805.04917      673.87309      706.78723      860.75367      822.30680      881.81321      688.29500      850.48261      952.35312      958.09897      907.71790      865.47798      
1962 09 30 598.12868      557.30508      611.06424      694.51691      685.66414      662.15234      677.91874      707.20639      835.50853      748.88538      686.48634      854.98737      773.28712      802.03598      794.36188      780.49664      817.37080      823.11738      864.34022      468.60406      534.15593      479.31753      559.10834      534.72778      418.34489      548.58374      673.87554      978.45933      1111.47848     545.91970      476.16141      770.53189      830.53240      739.99739      656.84103      540.24366      560.83890      734.25488      696.46179      743.55083      555.42309      728.63392      836.80696      845.38079      799.84955      746.73489      
1963 09 30 462.57058      425.10614      469.46660      551.49873      529.80192      514.32239      529.81274      538.99698      630.85856      577.07023      519.06137      662.14747      559.28496      609.86429      605.78359      606.85874      612.83685      635.72479      669.32643      307.58023      390.66163      288.77298      387.05080      366.44776      261.18066      352.85023      527.97919      681.48613      793.55425      379.82120      295.98365      600.80461      662.36795      574.26122      508.60302      388.47816      411.43578      573.34463      537.26213      588.65947      407.87087      563.11251      643.50657      638.60052      603.59350      575.90459      
1964 09 30 877.28313      839.18481      886.38992      966.40550      946.30432      929.76300      938.41942      987.66087      1128.94858     1028.19892     996.84523      1156.09284     1094.25066     1090.68464     1079.88749     1078.69835     1093.82564     1101.37492     1144.14328     721.28125      804.34199      753.66388      839.70851      817.12850      678.60482      838.89134      965.69076      1289.48179     1423.17105     828.85851      754.15232      1083.73868     1117.28024     1026.92149     930.72633      818.07381      831.41612      1020.85194     971.60996      1030.93374     828.71112      1013.07423     1143.50993     1139.40941     1097.28368     1030.32272     
1965 09 30 679.64910      626.32055      687.71819      790.85178      746.98141      727.22152      738.21641      759.07845      864.99346      747.31260      702.76427      862.41331      751.44030      804.32965      807.01262      817.79101      829.75745      844.06210      873.86885      524.96451      608.13666      508.22251      573.76523      570.57166      492.97129      552.43901      716.81182      869.29972      979.76435      561.55502      502.18362      790.33197      840.26988      797.81487      699.19025      555.92569      585.33970      797.51859      759.15433      801.47962      595.89454      790.42950      871.43901      864.17782      843.55278      784.37854      
