      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 99892.00951    44247.43292    9507.14179     815.21584      3286.16297     0.0000000e+00  0.0000000e+00  268343.41718   303830.37760   6567.46036     7442.14659     38077.59977    0.0000000e+00  0.0000000e+00  35946.14505    9933.16896     95226.56699    4274.86186     1997.68365     8106.51982     1016.93019     173518.14708   157099.02736   477574.56922   932.58865      1323.13202     0.0000000e+00  0.0000000e+00  0.0000000e+00  7666.78818     32950.49335    22528.70703    83.53553       74663.61355    243337.51790   280164.56420   74673.22447    112862.56640   21769.64989    93616.89883    204680.55613   99262.53891    139052.97352   343229.58977   71528.15006    14253.54399    
1957 09 30 57681.59890    37838.28275    5614.04652     461.78526      1582.77872     0.0000000e+00  0.0000000e+00  103330.27093   171638.74610   9134.27768     4361.85105     32549.74176    0.0000000e+00  0.0000000e+00  44349.38000    6330.18626     74889.67024    3199.69372     1659.08994     4362.37782     589.98702      132910.38223   113559.33909   363095.84314   817.35903      1029.85849     0.0000000e+00  0.0000000e+00  0.0000000e+00  5148.47805     18920.87164    14254.74433    61.55973       26763.30623    124026.54576   189355.73989   43557.75244    60711.89060    10471.78944    67943.62239    255908.85021   42913.49337    83707.29905    208848.88332   43385.69968    5043.94658     
1958 09 30 71488.80638    40252.50282    7912.03301     598.44720      2196.96625     0.0000000e+00  0.0000000e+00  159510.25851   199724.93688   9853.94904     3919.09343     37084.06110    0.0000000e+00  0.0000000e+00  52229.53455    9310.14467     89402.04687    3963.58758     1667.32792     4994.20667     644.31322      110804.93627   101981.01156   316184.18940   1205.55337     981.48094      0.0000000e+00  0.0000000e+00  0.0000000e+00  4572.58434     15681.89746    17256.73429    73.91780       38381.02623    168956.19893   182741.36970   56417.87040    85665.77048    16234.52912    88590.14700    303227.44772   60987.33881    110821.46180   239604.12220   61989.30364    7669.53332     
1959 09 30 88340.27289    50008.65299    9352.57755     869.04828      3061.94247     0.0000000e+00  0.0000000e+00  177668.75420   286871.05375   13532.17202    5539.26036     45200.55368    0.0000000e+00  0.0000000e+00  68895.84834    11431.38316    116924.83685   5539.61809     2744.09104     7768.58499     956.90515      156176.19543   148361.42505   432751.99707   1898.60269     1289.14424     0.0000000e+00  0.0000000e+00  0.0000000e+00  6804.77422     24214.44211    24597.60456    88.70542       51638.23348    219670.65679   259896.05025   82141.86678    114345.89347   20169.52634    115523.62777   366183.85914   76959.32135    145190.02706   350214.20097   77197.49364    9750.89701     
1960 09 30 86218.55356    47308.42512    10764.57558    745.10125      2794.29103     0.0000000e+00  0.0000000e+00  171231.08832   215993.49108   10158.30909    5098.06609     40098.29238    0.0000000e+00  0.0000000e+00  57434.17807    10583.78094    105472.16962   3867.53699     2060.75270     5322.93016     749.98993      147570.04829   142027.18833   395792.68238   1386.11789     1245.61436     0.0000000e+00  0.0000000e+00  0.0000000e+00  6101.33040     23263.56993    19603.85401    69.40778       42579.20324    174466.18176   254337.85149   70370.38935    98818.91070    15519.92066    91007.02009    388796.40809   64825.25718    108131.08911   278809.62735   69587.88585    8076.71260     
1961 09 30 95263.33063    50933.80348    10261.67599    755.31343      2959.94176     0.0000000e+00  0.0000000e+00  184433.31683   236178.20879   12453.85331    5869.47023     42561.39532    0.0000000e+00  0.0000000e+00  58882.56756    10633.79959    114444.56408   4832.67054     2153.72760     9653.53639     1063.52704     175500.49499   162131.71162   467823.22990   2212.38045     1413.36534     0.0000000e+00  0.0000000e+00  0.0000000e+00  7156.08881     29379.46536    18910.20768    81.04380       47466.95509    238112.03408   290971.64443   76756.01028    101390.27351   19993.66706    101834.70740   402323.11520   76571.20052    128697.66773   276220.57473   74597.85303    9856.67571     
1962 09 30 72627.71663    38013.34021    7911.38360     635.45958      2407.25486     0.0000000e+00  0.0000000e+00  124659.57326   189510.37684   8310.17873     4226.20329     35025.72534    0.0000000e+00  0.0000000e+00  41911.38950    7393.12811     69216.90563    3379.93978     1538.60297     4413.87388     502.88425      129560.69027   112684.19925   370695.46227   918.40171      1150.21066     0.0000000e+00  0.0000000e+00  0.0000000e+00  5258.60077     17210.00396    14472.83875    58.81154       36997.73763    135242.22496   208441.41502   46416.66439    73928.17877    15631.65713    79858.11092    315565.84943   51926.04744    91917.34808    206970.27848   50581.40724    6269.91779     
1963 09 30 61081.73981    33198.14967    7273.99457     697.51914      2315.01364     0.0000000e+00  0.0000000e+00  140504.35510   173712.91226   8023.08680     4082.40106     33778.12769    0.0000000e+00  0.0000000e+00  41864.91102    7651.23868     78743.73214    3268.41715     1678.09117     4276.56216     637.87052      113991.50307   114250.93753   323059.41272   812.17217      964.04250      0.0000000e+00  0.0000000e+00  0.0000000e+00  4903.39103     17639.19769    17803.23982    66.01988       34193.49234    155310.11691   208946.71161   48258.40797    68797.85825    13544.64683    74387.90474    247840.95367   51674.16329    89106.63210    211939.70588   51412.68297    7083.34152     
1964 09 30 96866.86383    56333.66071    13461.88789    993.93879      3574.75157     0.0000000e+00  0.0000000e+00  224341.96508   282951.14901   12772.14547    6026.48607     46748.10773    0.0000000e+00  0.0000000e+00  63423.23186    13272.64225    136022.85506   5199.12910     2481.91262     7032.90847     959.12536      167582.84868   152267.72234   461854.82113   1856.68752     1310.33835     0.0000000e+00  0.0000000e+00  0.0000000e+00  7053.34561     26205.31328    23489.61090    87.06360       59704.50807    240992.67279   283936.80370   81816.10904    122254.44801   23087.99650    123755.06503   456792.13429   96547.47414    162574.04558   355640.48692   90589.59037    11234.80161    
1965 09 30 65440.72767    38747.22912    8100.40496     583.50364      2095.69931     0.0000000e+00  0.0000000e+00  130522.06598   181035.81746   8553.60373     4810.21403     33909.95193    0.0000000e+00  0.0000000e+00  49001.05337    7985.25946     86432.53691    3422.31640     1722.21110     4720.60644     644.86908      130176.00750   111212.44298   365037.60243   1145.35071     1018.61337     0.0000000e+00  0.0000000e+00  0.0000000e+00  4679.10259     19704.97229    15084.59157    68.64324       32959.25769    154063.25901   199185.08245   52828.92561    72092.22289    12586.48864    75125.57355    306348.07243   43683.79773    74954.73483    220074.70560   46337.53711    5356.76443     
1966 09 30 67164.49757    34610.16715    5970.76515     452.16625      1746.16595     0.0000000e+00  0.0000000e+00  127102.88739   171177.00129   7681.22174     4248.06239     39155.55930    0.0000000e+00  0.0000000e+00  41029.24458    8163.02936     91494.57294    3260.22938     1643.80531     3843.64432     565.19848      123627.20770   115961.73875   362865.11397   876.32191      1069.09597     0.0000000e+00  0.0000000e+00  0.0000000e+00  5283.25504     16064.22979    13529.72205    72.74307       35001.96858    149834.92645   205585.49547   47382.53540    72761.82988    12612.19394    80098.57548    265419.15763   54588.73359    90817.18400    236399.96612   55481.31423    6095.56368     
1967 09 30 93089.90661    51380.17279    11871.17541    856.19750      2966.65065     0.0000000e+00  0.0000000e+00  170063.68152   220522.57533   11553.69998    6505.26135     40890.62034    0.0000000e+00  0.0000000e+00  50995.20980    10890.54574    114828.27086   4679.68188     2128.82937     8891.25998     1026.60888     173965.04927   159124.88296   462846.21294   2077.23946     1291.44051     0.0000000e+00  0.0000000e+00  0.0000000e+00  6950.95710     30026.60064    21387.97292    76.99046       51274.09911    234882.43045   283073.22610   79124.70263    93803.77694    20027.86518    107624.55981   409038.78776   70856.45338    126335.12504   284298.99720   75288.11936    8862.43862     
1968 09 30 75234.91182    38582.62923    8806.24772     503.71659      2269.36409     0.0000000e+00  0.0000000e+00  139065.51485   216485.35113   8416.86231     5908.88677     36462.54408    0.0000000e+00  0.0000000e+00  47056.84689    9769.38899     96919.26805    3738.34405     1889.49829     4832.24530     623.22940      153779.21931   131435.64033   419018.09672   1180.50124     1188.65837     0.0000000e+00  0.0000000e+00  0.0000000e+00  5975.36427     21028.29960    17718.69024    57.84925       40516.53020    173152.16740   232721.30506   55717.50634    75538.60753    14751.88540    88152.79748    257873.79836   56470.98902    105706.27577   254078.47202   64994.07929    7182.43970     
