       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 446.97701      576.02626      765.05032      832.82789      815.29974      780.25742      781.84431      785.94661      845.01070      753.22006      419.43428      887.89576      785.12343      954.98552      717.64783      870.65975      847.02789      901.61098      941.71022      571.40550      686.43114      381.97958      427.30771      330.37233      519.30224      545.82819      808.93888      820.27306      908.54167      548.17301      406.14392      823.92802      948.38925      769.66688      670.32932      370.57381      576.30592      812.79385      784.63678      804.64710      493.15677      815.88587      848.82418      822.39709      847.75312      825.63120      
1957 09 30 490.02418      516.31974      593.05857      668.49634      644.37393      631.64027      640.39224      650.70348      715.60276      677.29046      544.23639      789.00694      812.65948      785.26164      611.27538      702.45377      692.55278      722.85578      771.43504      516.84228      559.20816      425.19376      500.14548      413.29872      481.10226      532.50628      701.34197      917.99165      1017.66943     562.11118      472.13513      743.85056      790.30769      685.13076      612.53889      451.44714      564.31527      667.92002      654.55800      666.08816      485.96284      666.74285      711.57914      692.76806      696.31937      678.90061      
1958 09 30 295.14590      336.56955      437.41914      541.29271      514.04187      495.34544      500.97664      507.81857      563.57830      530.59008      370.74342      628.94317      582.75574      621.77790      449.90448      549.33444      545.33706      585.21673      639.95242      322.97901      384.56367      237.49800      304.31657      240.16507      271.93251      350.59492      530.85384      680.40742      784.06585      368.65701      268.81404      572.11519      640.36412      543.73819      449.43230      270.98230      386.71269      524.37922      517.83095      525.46385      300.01764      525.93832      563.13968      540.56036      542.38474      550.08386      
1959 09 30 636.76450      667.71507      832.67026      926.88830      918.05565      884.60591      895.31179      906.52001      959.38109      883.59093      649.05482      992.92221      948.74395      1051.92887     793.78219      949.12584      941.72039      981.80410      1040.18697     606.83963      697.87453      440.80260      561.51301      435.45092      525.07504      601.77561      893.32093      1051.24208     1218.38338     669.42878      530.07142      947.57650      1037.77492     932.99520      797.56941      517.52914      695.35078      918.22661      917.45104      896.96321      632.58027      942.45895      975.20338      933.14648      956.80444      977.69957      
1960 09 30 511.98029      565.70751      665.38342      759.44458      738.84837      719.01026      724.05728      725.09812      793.45614      757.19895      553.16759      872.04657      875.96209      838.48396      681.12854      770.54516      761.64781      810.20407      861.36519      489.83669      552.81920      407.83109      492.83021      391.24458      434.19491      585.86031      746.57727      1011.46883     1122.62939     560.88801      457.71171      795.83539      881.59526      772.00779      659.27749      437.23008      587.82409      766.56793      743.17413      748.93796      503.78251      761.75708      810.45733      769.91658      783.19948      783.52921      
1961 09 30 542.81325      607.59905      727.31643      814.50479      794.95677      782.41619      787.98676      802.55604      878.90699      852.58221      643.39243      992.07496      979.26803      993.77285      758.20642      848.98111      851.54176      901.92324      968.45346      593.65429      664.68447      516.18892      581.67023      483.82822      536.06622      692.70911      874.14805      1122.38901     1233.17844     674.36643      554.90750      916.18552      1001.49871     841.98066      735.39722      520.67142      681.07972      819.04270      814.11620      821.22481      569.42466      825.55271      875.29620      849.78910      849.57436      843.99159      
1962 09 30 417.58951      446.96810      586.23112      692.74241      681.54847      659.77498      676.09422      685.97862      772.63098      679.33505      461.06004      778.20688      688.85909      780.00566      654.85804      748.71018      770.07422      781.79266      835.52602      420.87942      490.52806      313.90553      390.10468      308.91847      354.53508      425.54941      640.23526      839.01770      1002.39799     463.20426      352.66738      719.92405      803.99304      721.43352      593.76729      348.55096      497.59401      703.15506      689.39303      695.14017      415.46606      709.82654      782.40241      769.42423      760.58677      733.07878      
1963 09 30 369.20659      412.26562      467.87733      554.36649      538.23236      523.45148      536.82116      526.47579      586.94447      582.73290      444.63865      681.81384      644.96174      639.62265      513.57067      582.95172      572.16962      612.73705      664.79074      341.11710      393.89174      287.56711      355.80112      284.54118      300.90789      420.38642      571.74406      779.67497      866.54868      412.10567      327.49889      609.45582      685.95634      565.11792      488.34540      326.58200      436.80872      553.61369      540.59080      553.68146      376.31958      557.79077      598.26210      571.21900      570.77433      574.02428      
1964 09 30 616.45347      650.41181      834.56478      952.00446      927.94668      913.70516      923.53738      936.67179      1011.17778     907.76574      653.36531      1050.97474     995.74021      1053.53853     830.19576      1007.70463     990.13634      1022.80345     1081.45266     640.10517      719.99205      532.89847      603.53369      511.47766      571.72307      681.12930      916.36369      1149.15355     1318.18241     703.60899      570.08749      997.63788      1069.77649     985.07192      816.56904      539.04767      715.66459      957.91756      948.32336      943.75921      603.30005      966.80195      1032.52577     984.21133      1015.06384     991.93865      
1965 09 30 578.04981      596.35762      688.03504      805.33671      761.45835      742.86365      753.37685      755.90935      825.29168      757.87669      600.93652      856.18346      841.92725      838.70653      687.71543      800.84699      792.99293      826.67276      871.08157      561.22179      618.02430      507.98656      553.23866      489.39455      529.51964      599.99328      758.05572      979.62963      1071.36105     604.46264      539.81701      797.64909      841.68780      798.58218      679.45913      513.26439      615.65905      784.92013      771.18991      774.12594      550.63567      794.78629      845.32780      803.03077      825.12318      792.78384      
1966 09 30 434.86747      470.54738      587.05644      711.29971      668.17346      654.13976      663.16646      670.76625      753.44657      673.44296      474.28958      747.36648      715.92854      767.92601      630.29121      725.21670      730.31733      763.20855      810.18640      418.92917      482.73204      331.67202      399.67750      321.53481      362.19352      450.13573      651.36973      828.52472      939.73152      470.94657      368.13862      714.29202      777.71751      716.72114      581.16898      357.17505      497.50761      695.90443      687.59526      694.41465      424.27922      689.89540      758.39342      728.70633      737.70596      698.69718      
1967 09 30 577.46581      647.49124      753.00764      849.58618      825.51456      814.32007      816.13999      820.25068      894.54760      903.61710      685.30883      1044.07950     1064.59239     1067.29428     800.45081      859.29694      870.63682      941.71632      994.72257      672.14441      737.02950      603.18561      654.89204      564.50734      626.80929      764.67405      945.47736      1211.46936     1323.50780     742.45452      620.87176      962.56904      1052.74724     852.71984      764.52569      580.86270      730.24162      832.69040      831.65258      833.32641      606.93438      835.04910      868.13762      848.38925      844.66067      856.06495      
1968 09 30 650.98787      672.70021      831.47968      938.03190      922.24661      898.71570      905.70110      943.83881      1054.54855     990.51157      700.30968      1109.14303     1122.25332     1187.59913     935.51493      1014.11376     1032.89144     1091.82630     1137.09986     692.70946      781.62013      585.44995      656.77721      562.67282      629.51134      716.85749      969.35982      1201.79857     1354.93718     742.58289      603.02598      1076.46720     1159.33385     982.13164      844.71508      582.74446      749.41281      952.45955      932.09350      959.92322      648.14026      954.28467      1022.55899     1022.48508     1003.98504     974.92641      
1969 09 30 499.52203      521.29472      632.66800      711.50369      703.46840      682.84389      679.24534      695.36962      775.55256      745.86294      565.17356      870.49032      813.60994      880.96919      669.06187      740.92032      749.71445      806.74500      863.52883      458.31713      555.68928      370.76840      453.79281      352.59732      397.27853      535.41736      753.12944      947.55345      1084.73032     548.59440      416.06178      804.77701      892.27622      727.76711      635.26968      408.69825      546.42001      711.31574      709.52244      716.41027      478.89136      715.29683      762.26524      738.42258      733.89069      741.08716      
1970 09 30 358.66961      396.24949      487.14567      580.32339      538.58532      519.83415      525.62137      532.37428      602.55118      541.45963      369.00331      634.05478      597.95263      593.61035      498.51605      575.60045      573.61341      598.51447      649.21280      311.86361      362.39545      225.62302      313.12184      226.12499      255.95231      350.20942      518.16483      703.59430      807.76185      366.46137      277.97505      578.83303      632.16419      572.87692      469.86178      276.64610      405.36955      564.05504      543.35409      547.33639      344.90009      564.04510      609.66511      583.30819      588.19618      579.73756      
1971 09 30 523.05646      565.19112      689.19025      796.73935      764.59148      756.93728      756.60755      759.43981      852.20828      778.69946      562.53141      906.97736      895.88026      928.16649      734.03271      810.17336      812.54729      862.14126      915.47957      533.00877      599.56376      441.46537      496.62954      426.49775      483.05433      593.38078      773.82462      1034.42337     1165.98365     574.50598      460.96402      838.61421      922.20558      805.66082      658.55581      432.26031      585.77242      787.43398      781.31167      769.53427      513.81091      797.10418      840.99114      819.13316      822.05562      820.30006      
1972 09 30 805.09230      838.59207      1005.97627     1087.77173     1089.71845     1063.00201     1070.90794     1123.76460     1232.96787     1191.35541     877.52194      1333.81558     1383.35208     1432.09225     1125.43511     1174.01369     1199.70625     1263.97080     1303.83342     879.48826      975.96318      745.71053      825.37137      678.95573      812.22417      938.05972      1207.17196     1584.04829     1756.52179     959.13851      799.41565      1242.87688     1353.98541     1142.19172     1011.61624     728.56217      939.93849      1121.72092     1081.05823     1099.68967     833.43136      1145.53160     1210.84409     1194.68622     1181.70748     1184.21834     
1973 09 30 351.88207      398.44797      474.69530      551.49242      526.01070      517.56343      528.73686      546.24892      605.11416      549.26870      438.66902      635.60609      631.83425      616.23711      515.65367      580.71966      581.14305      600.37044      639.68412      387.34169      437.06368      325.75792      374.53054      317.08165      350.15639      424.46407      549.29535      738.17794      812.51074      425.06013      353.14911      588.28871      632.66939      567.45640      487.40065      336.95909      435.53623      558.27173      535.96455      551.64027      374.15147      559.88203      614.93302      596.67903      593.28567      574.05776      
1974 09 30 581.74310      608.24765      740.70826      827.03310      817.97522      798.18555      799.03798      809.31374      895.54558      874.25492      641.79598      1018.78078     1021.29966     1051.70789     782.32579      844.62167      855.69826      935.51277      997.89537      601.83813      676.13075      497.78929      561.30439      458.03540      544.17264      666.47628      887.00903      1174.78534     1307.17882     655.98087      522.04306      935.91688      1042.14824     846.06296      732.99556      492.64490      655.76922      827.18627      829.37217      826.69082      577.87883      844.58423      874.48910      848.24855      851.01835      870.70564      
1975 09 30 418.25784      455.61962      608.10887      722.30272      684.08963      681.39025      693.56608      677.21629      728.98220      654.47304      482.91759      735.39995      669.17260      774.30380      568.80585      712.74774      721.62619      754.44637      800.61769      480.07626      552.55439      387.68782      425.19977      376.84395      416.57341      486.77172      681.35976      720.65182      813.25009      516.11990      392.12363      708.65688      783.18357      717.69001      587.59278      387.25609      514.57003      689.67714      702.99746      696.30579      413.43700      680.20523      725.04152      702.92238      710.06851      684.62441      
1976 09 30 746.66629      793.57216      926.63213      1012.54540     1005.10819     992.59704      998.49035      1010.42028     1105.08927     1061.97259     776.28412      1204.97628     1206.90992     1284.67844     972.21486      1063.96861     1083.76667     1143.82537     1189.16964     791.44440      863.55359      718.35128      762.28538      650.85747      733.71073      877.20461      1056.32082     1360.11578     1524.55670     851.98898      724.82446      1121.00758     1214.75791     1051.06397     918.89283      682.16598      848.15102      1034.43122     1026.09623     1038.25586     739.34079      1038.61016     1102.36474     1074.02810     1075.09115     1060.29694     
1977 09 30 351.66764      356.17944      466.99228      564.84247      535.95461      522.46796      529.58046      534.04114      593.67123      508.83114      341.35333      574.90831      476.18302      543.71333      481.39385      587.34044      576.09200      587.49024      632.43905      281.06636      335.14259      209.24731      275.22304      215.82207      224.18820      309.93862      462.21656      592.63786      688.05399      329.24714      246.74062      530.05809      597.43503      576.62570      459.79107      262.13271      366.62417      565.37598      555.97056      563.45442      321.97045      554.75412      617.35743      587.40054      600.20923      559.43680      
1978 09 30 471.01188      490.70418      613.33422      688.33759      677.23963      664.44120      664.79626      683.46977      770.69842      727.91637      540.42254      870.23697      777.67294      848.09794      665.99234      732.83740      745.86299      803.03612      859.13793      447.06831      528.60208      381.06174      448.61660      367.17189      398.80756      525.24768      728.11335      916.36887      1071.24389     516.03235      413.19850      793.25904      883.22920      719.89578      633.16428      413.20945      537.81993      703.36392      697.22965      705.91646      458.53774      707.42534      759.50608      740.74698      732.91709      730.06773      
1979 09 30 293.90856      337.83920      391.86906      463.27253      441.65214      432.44154      443.12690      435.67635      487.62455      454.42848      325.19492      541.42370      523.32608      519.66640      397.89553      472.36393      471.42585      519.30485      544.14152      284.71224      320.22546      218.90977      281.48131      215.33346      236.64487      334.47563      445.03907      630.12484      706.91013      319.37576      249.10962      487.70698      542.52987      470.60577      387.13960      247.57699      345.31025      454.16255      453.70081      451.32021      288.60667      465.48267      508.38225      488.26672      485.01272      482.46409      
1980 09 30 471.48272      485.24444      612.87024      710.65648      677.90034      674.52273      690.10960      688.52890      786.03166      706.74989      522.30227      835.41771      836.18874      854.90820      678.49544      755.12859      753.15755      796.28110      836.63032      478.95215      553.33154      379.50693      446.31925      352.32597      432.24583      518.14366      695.17406      983.35643      1127.27486     510.38876      404.80150      763.64554      833.15167      737.09067      596.95729      377.66698      507.18101      718.45061      716.80757      718.25958      446.35239      712.48820      772.98700      760.22438      760.92205      714.47841      
1981 09 30 599.33175      622.80562      735.55466      834.92115      811.27369      794.02696      798.54988      805.09084      893.58872      879.71638      669.52523      1008.61362     1004.51595     1007.67988     803.37534      862.91788      868.04394      927.23532      976.17757      577.71655      660.92415      497.79325      582.85147      463.79194      512.76468      690.76460      863.65424      1180.74433     1311.56318     658.87424      550.06799      925.92854      1003.85136     844.97049      739.91574      530.63691      661.89145      821.67934      831.23766      826.78576      594.56525      839.19089      878.62951      860.39875      873.75370      857.38728      
1982 09 30 664.12920      711.72612      853.99605      951.25282      923.67157      911.57181      912.29844      908.88591      989.39716      991.39317      793.17619      1136.85832     1235.75122     1235.74663     876.08489      933.30488      964.86087      1039.63257     1089.83863     790.78981      857.24926      717.90152      743.48525      651.64369      747.71403      874.08642      1033.07761     1394.24621     1498.34728     840.34493      728.72963      1057.59498     1143.22175     943.70571      830.36551      652.87479      782.68689      927.37351      931.82321      913.53702      678.13782      931.57252      948.02885      932.79299      942.37038      946.15648      
1983 09 30 427.00741      470.65834      633.39211      743.68806      721.50814      710.81465      716.82590      732.15194      843.04572      771.93958      557.76550      927.67959      894.18300      966.00262      716.50787      791.10213      809.79141      871.36880      930.94284      505.81506      582.94121      409.32799      465.10273      379.98254      439.53230      568.70234      771.35619      1057.66424     1212.44050     555.91964      412.47294      846.54999      939.58041      776.81337      624.89457      393.35985      538.35502      739.02701      744.40589      750.61185      416.40968      742.85796      798.35758      797.75587      791.89374      757.67787      
1984 09 30 613.72147      654.92669      752.82156      843.28765      832.33970      816.33671      818.12520      820.16622      890.59575      891.23334      677.74412      1041.09597     1040.60131     1035.39625     806.08976      866.31888      866.82399      929.89540      986.50001      609.32765      671.71951      549.27542      612.43491      510.07156      550.32352      744.11745      883.12055      1208.70083     1340.85222     686.71269      583.41034      928.84918      1025.84294     861.95004      747.11706      552.63174      687.48887      844.81558      848.90968      838.53197      613.58612      851.43913      890.62908      860.64300      867.63295      864.06184      
1985 09 30 366.55313      398.67971      494.11577      570.43391      547.61650      536.52382      538.54203      536.82168      616.74799      585.31683      438.30460      710.02617      728.62068      736.49327      531.50251      572.33094      578.52782      637.34116      687.28062      389.76771      456.76915      297.12679      361.76265      263.25724      343.52375      435.81923      601.82933      857.31318      985.26515      423.26964      332.69300      642.83125      714.93314      570.31911      473.90757      296.51637      417.29981      554.92094      556.93238      556.64452      365.91860      557.91319      589.32805      579.13274      573.58775      569.37380      
1986 09 30 521.85211      551.11568      663.80982      759.55458      741.07733      725.52612      727.00203      734.35638      820.20843      770.24298      561.31175      896.76753      867.14133      903.09868      730.88485      774.99687      783.64510      829.46739      891.37634      513.32131      602.76499      400.76112      481.19716      378.18506      451.83597      569.36933      776.97589      982.47329      1098.25361     562.63228      443.59961      826.25801      901.27699      771.81184      664.46797      427.52528      574.10914      755.54298      753.04877      749.03449      506.00096      766.74874      809.89499      795.92634      785.97186      777.09992      
1987 09 30 369.58421      405.41015      508.95105      602.96975      569.77521      562.17806      569.32090      574.83621      656.32399      610.71005      453.86229      727.88656      717.04336      757.03556      552.64452      612.03393      624.56551      673.63448      727.31062      407.61086      474.74721      319.63128      375.43182      293.44037      357.46056      451.56778      623.36940      837.59339      952.57379      442.00542      340.41990      662.95029      739.97759      611.17038      506.56675      319.61857      444.18181      594.75224      589.73301      592.04525      358.75356      586.26028      631.59453      622.64942      613.49366      592.20629      
1988 09 30 385.42141      379.65232      502.29520      600.03689      571.50263      565.40755      575.46543      583.36689      660.80595      568.73627      379.23782      655.22555      586.43300      684.04170      552.46179      632.43250      633.07491      658.26871      698.61186      342.25313      434.61513      219.80473      310.83159      232.71275      280.73680      337.50621      551.09034      664.17247      782.59597      370.96268      252.34133      614.16957      693.53299      621.16415      487.18557      269.48192      389.88828      601.12169      598.34272      604.74247      347.31674      593.59053      644.03235      633.37428      637.78061      593.42573      
1989 09 30 585.34367      619.33054      782.70570      887.27927      843.83256      844.57772      832.10258      834.87815      900.17471      851.98004      626.18010      978.23756      999.89358      1014.68396     774.01564      865.70626      872.67125      924.04057      973.09693      642.39876      714.47347      531.75754      571.87018      486.67143      587.54212      692.75476      873.07011      1112.33641     1209.64466     677.49712      546.66735      913.88670      984.92685      868.99505      753.19551      505.61528      675.11688      888.18826      861.43580      845.48602      560.26315      850.90192      883.58943      856.21056      862.55945      864.82909      
1990 09 30 630.24541      669.80482      793.31470      869.86447      846.25727      835.95586      837.55604      841.78982      906.81653      879.09706      654.62986      998.37670      965.93590      1008.97489     803.48693      865.36589      873.48764      932.29382      982.04942      639.77890      711.59415      544.71123      602.14286      516.78389      583.66647      696.62357      879.23146      1096.88526     1214.83756     688.82179      565.99241      925.12558      999.22488      874.20578      768.99195      551.26140      691.66597      859.43834      860.86638      853.43079      630.31108      863.29647      889.85964      868.48432      878.18181      873.93448      
1991 09 30 672.75477      722.40568      866.52167      949.13091      935.42838      911.19739      924.25206      930.19304      1010.08861     947.22318      702.11441      1075.47985     1050.85361     1121.58580     872.44682      975.02486      985.07745      1033.22723     1087.43537     700.95839      798.89535      586.83359      657.20543      557.53315      631.45379      739.12141      965.97993      1165.45466     1318.68215     750.50598      621.64451      1008.78086     1099.05969     967.30327      843.98851      593.25461      755.62020      954.23433      938.82209      944.12969      672.49478      959.96205      994.49635      974.47515      977.97161      970.23761      
