       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 465.16553      574.67853      764.93834      834.77670      820.96795      779.40298      775.44135      782.24634      841.08378      757.71658      425.09912      904.03513      788.29251      961.63799      721.11244      869.30090      847.01143      898.06606      942.20279      573.07458      686.83077      391.59632      435.25038      338.88643      518.66771      555.47010      808.84080      838.23806      933.73171      553.59911      444.37918      839.35632      945.90927      769.21555      670.99797      380.21525      577.64236      809.43046      777.26025      806.06512      498.21129      814.29644      851.47489      823.99872      849.76350      822.71433      
1957 09 30 495.31516      515.16448      589.78362      660.87506      647.00452      636.02964      638.46641      649.30726      709.26150      679.18386      551.42571      785.16973      818.94216      785.09792      613.59609      700.40458      692.54132      722.44708      771.68209      517.08669      559.17933      435.92987      510.32110      422.00833      481.30031      538.33111      701.34082      927.24615      1025.16704     565.95767      486.72743      725.57071      787.76165      684.97671      613.11541      463.33540      564.68700      664.03071      654.60710      665.33400      487.31625      664.04989      712.93370      693.94698      696.18919      675.78032      
1958 09 30 299.44838      335.94904      432.91637      544.46250      517.06183      497.84279      499.45579      506.88751      561.51961      531.13069      378.97508      633.48365      588.79493      627.27705      450.24775      545.07109      545.09515      583.48582      639.97736      322.98781      384.97745      245.15121      311.26591      245.98144      273.92565      356.21635      530.85812      688.99861      792.82342      373.21354      275.55872      568.53732      640.59843      543.61030      449.32378      278.49875      387.51160      522.56989      517.05071      525.16977      301.70657      523.57469      561.61073      540.53919      541.95263      545.39533      
1959 09 30 644.63806      667.29917      831.96348      921.68326      916.73447      882.04008      896.56680      901.20502      950.61545      885.94892      660.97719      1005.30321     961.38545      1057.27622     794.48054      943.54157      941.08840      977.70894      1040.30040     608.51798      697.94211      456.05644      569.57416      444.62522      527.81274      610.09854      893.33033      1076.24301     1241.14554     674.72597      544.07769      947.95125      1046.62236     933.28344      798.39989      530.90315      695.53731      916.97585      916.62665      896.76513      636.81058      938.85298      970.33967      933.18684      956.44236      976.11602      
1960 09 30 518.49613      564.90762      664.99070      763.49853      738.84574      718.81950      722.87928      723.82142      787.43307      760.14477      563.25385      871.05885      877.26577      842.53776      683.83834      767.37483      761.53719      807.27216      861.38738      489.61669      554.40171      415.61025      501.60667      396.06549      434.25894      589.63420      746.57787      1010.97334     1123.05028     565.13258      468.07583      794.81346      879.99905      771.14338      659.12712      451.32030      590.41674      764.75661      742.52342      749.17466      506.80767      759.03057      807.55422      770.65764      782.39849      783.79743      
1961 09 30 552.39693      608.98853      724.23285      816.05730      798.12962      783.24345      785.86799      800.16148      875.36761      854.76034      650.38708      990.74133      984.55033      994.96659      760.09751      848.12888      853.17125      902.97797      969.22356      594.06460      665.57849      526.81736      592.33269      493.84516      536.36028      696.63197      874.14793      1129.40307     1240.59906     677.85707      565.25522      908.27152      999.98885      841.82733      740.45184      534.06973      683.12334      816.89094      814.09577      821.19824      569.96502      822.80855      873.67458      850.97577      851.70803      843.15291      
1962 09 30 432.09472      446.04824      588.00184      693.56116      684.97901      660.51940      676.35975      685.95917      773.33020      680.92616      471.67187      791.66552      697.01303      789.58350      656.28376      748.64920      770.17330      783.06049      835.56441      419.90619      490.70113      322.18423      398.47145      314.80069      351.76031      432.75307      640.24634      858.06030      1023.68401     468.00716      363.02792      725.92361      805.86696      723.08141      593.61014      359.64452      497.86166      703.22810      691.42001      696.42900      415.45962      708.95990      783.01095      769.81981      762.32255      733.83402      
1963 09 30 382.54192      411.82212      468.05908      572.33043      540.57756      524.44147      535.64027      527.19126      587.59977      583.58809      453.52118      679.93753      648.93007      640.34653      513.01886      579.48648      572.16658      611.12318      664.71272      342.02207      394.65910      295.61814      363.23311      290.40282      300.90670      424.44000      571.74486      778.74321      866.12814      414.82591      337.10307      606.31101      685.21017      565.65439      490.35936      336.86159      437.02246      552.97088      541.12091      555.27699      377.70898      555.89922      597.29924      571.45047      571.89762      574.19586      
1964 09 30 623.86249      650.07351      835.92619      952.11779      928.23188      913.10024      922.33400      934.99056      1007.50210     910.17024      659.61672      1058.46138     1002.42604     1057.80040     834.04539      1008.01262     990.02205      1019.68531     1082.19747     640.70256      722.33808      543.09126      610.33561      517.58543      574.06646      687.69566      916.36656      1161.66448     1330.25744     707.99022      586.61904      994.33802      1067.53208     985.52067      817.13411      548.76154      716.42872      955.35182      948.07896      943.62934      607.07887      964.22604      1030.78512     984.85324      1015.44059     990.22633      
1965 09 30 585.86411      595.77506      687.12957      810.33783      762.32599      740.72523      751.37296      754.85689      821.17798      757.67915      609.76752      853.47637      846.19549      841.02071      689.12896      797.09623      794.56315      824.14702      868.93766      562.02517      619.33688      515.97117      563.59076      498.86565      529.51078      602.82715      758.05663      980.63218      1073.00543     608.02463      550.28612      795.59388      841.07729      798.94915      681.07775      522.30570      615.29319      784.78877      771.09788      775.15160      551.99352      792.77493      842.85627      804.83261      824.97845      793.05075      
