       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 855.02028      796.87346      810.36112      859.24672      852.89613      835.18871      839.26845      887.28578      1004.04389     995.06075      1051.73467     1021.40524     967.54795      1004.99472     1021.02945     950.07550      972.96259      984.93369      1013.71731     710.97987      770.37106      686.03351      748.48068      752.40201      645.65895      726.79479      875.71889      1076.45049     1164.64813     802.51238      652.15645      958.31275      988.31459      906.91527      860.93917      742.58033      785.32967      905.78611      858.91621      917.22831      820.68956      904.37232      985.06025      1003.12072     953.62666      908.26662      
1957 09 30 564.84620      528.57120      585.90225      653.64809      634.81400      622.60480      627.34869      652.73963      756.84021      672.48856      629.06670      773.30219      717.86254      750.08480      703.98836      717.99530      726.38281      739.90125      771.13671      457.49520      537.63243      441.66412      516.97654      499.14558      411.03561      504.51888      647.36462      826.24844      924.62650      515.91124      437.45771      714.33324      757.67344      686.90791      612.41367      490.30690      519.90008      681.28952      647.20317      693.29220      516.20863      665.66051      751.03287      755.47724      720.05291      670.60166      
1958 09 30 459.10623      426.60889      470.72909      547.14564      526.28619      504.71219      504.75438      540.58942      632.92412      588.20395      519.91224      684.82777      612.93030      652.63780      622.82326      586.53185      609.67126      641.34513      670.26114      352.22243      431.15097      309.04292      402.98012      374.57070      310.81263      371.87007      555.68918      707.01013      806.79841      404.26064      309.08010      618.74744      673.40618      566.02278      517.04262      384.38299      428.26402      563.46675      527.55961      582.66834      410.89806      554.03991      630.74759      631.47442      591.51352      575.34738      
1959 09 30 857.62701      812.99008      860.35663      928.15907      922.85629      885.31535      899.42073      935.88050      1052.15229     980.92934      923.77166      1093.33211     1029.81505     1062.52576     1031.16975     991.61689      1016.56297     1045.55358     1077.87065     674.45862      764.67818      664.34389      767.64836      730.80136      616.78625      755.31578      918.40311      1194.76288     1320.15440     767.45544      678.87216      1011.35843     1068.02251     957.76158      891.64860      749.29708      785.82815      965.48555      926.44431      964.55111      797.16204      968.10544      1060.82124     1061.13481     1014.96078     1000.16517     
1960 09 30 685.39462      640.75365      690.61553      761.55328      738.38525      715.80276      719.38743      749.49306      859.90640      789.64160      727.16556      904.60214      823.61463      837.42631      842.67847      809.30209      827.18344      851.37886      885.79801      476.68789      565.66881      488.46707      594.92315      549.19744      424.78947      586.80257      732.51403      972.10025      1102.73777     576.21062      496.01841      822.15254      883.12118      789.20196      703.93421      575.71221      605.53123      804.04405      745.38386      798.95062      617.22110      781.07871      872.28991      868.43253      833.19612      799.05564      
1961 09 30 741.25649      699.93589      750.45600      818.97320      803.83579      785.16340      788.39508      833.93621      961.54103      905.06782      843.69681      1020.65288     957.21575      984.99669      948.32832      893.63446      925.95434      957.70969      996.83573      615.59100      706.64451      608.07618      702.11177      667.70895      566.80127      689.67602      858.15075      1089.45313     1199.69266     698.60728      602.14620      940.15291      996.81759      865.78327      805.05909      673.94801      706.94526      861.14546      822.39179      881.84327      688.93994      852.08218      952.46892      958.12090      907.72526      868.49182      
1962 09 30 598.12440      557.74835      615.40467      695.55956      689.48437      662.89732      678.19275      708.85306      837.70446      748.89453      686.95220      865.80347      778.10574      808.98980      794.37101      780.60535      817.61646      823.62017      864.34981      468.41808      534.19654      483.01677      560.14522      534.85904      418.35255      553.42867      673.88213      984.35646      1117.73449     547.97620      476.65326      776.74674      831.46980      741.22642      656.85262      540.44209      560.91855      736.27038      698.74618      744.44810      556.18932      731.03002      837.65751      845.45912      800.20543      750.14344      
1963 09 30 462.56817      425.51382      472.23357      569.83280      532.69231      515.42818      528.67918      539.59088      632.23783      577.05185      519.51312      674.20043      565.94084      613.09938      605.79042      603.57224      612.84576      636.15423      669.33181      307.59469      390.66731      293.67926      387.70881      366.95634      261.19066      359.44303      527.98441      692.16690      804.67797      381.30921      296.02926      605.30003      662.87710      574.36061      508.61176      388.64163      411.57697      573.94602      537.94317      589.07708      408.50925      564.85048      644.27340      638.62586      603.76676      578.44853      
1964 09 30 877.28235      839.52086      889.77863      966.38591      946.93614      929.06010      937.17613      988.64640      1131.30866     1028.20795     997.27693      1166.15801     1097.82810     1092.86365     1079.89628     1078.13226     1093.84315     1101.92320     1144.15288     721.27781      804.34739      756.92677      840.10694      817.45765      678.61292      842.87151      965.69374      1293.05822     1427.11840     829.85344      754.20849      1088.70889     1117.74611     1026.97513     930.73872      818.13960      831.51524      1021.80858     972.02302      1031.25877     829.08985      1015.16859     1144.15977     1139.45058     1097.88564     1034.29316     
1965 09 30 679.57425      626.81716      691.34948      796.16750      748.07319      725.47155      736.32111      759.59238      866.65980      747.32389      704.79342      874.66173      758.78909      808.21796      807.01917      814.32811      829.78585      844.50168      873.87576      524.96859      608.14198      513.14141      574.40052      570.80305      492.98016      558.90843      716.81775      881.02355      992.54307      563.38862      502.40131      795.72116      840.68486      797.83379      699.20213      556.19476      585.52723      797.97638      759.41809      801.49604      596.79789      791.61482      871.46151      864.19002      843.56394      787.90691      
1966 09 30 598.87913      557.97451      614.14451      709.20137      676.35617      656.82567      662.67731      695.38477      814.49651      736.89825      681.60864      837.34622      752.09795      789.28053      771.45771      757.86586      794.04845      809.56188      840.19045      457.67265      534.08089      474.12240      547.58086      534.49528      411.58780      540.36334      682.84117      896.98596      1005.03568     541.84515      458.10249      768.19483      814.77598      734.52073      651.50875      530.62380      555.06670      727.00730      693.72675      743.26331      540.04927      714.36377      812.99951      816.89334      781.02621      723.21078      
1967 09 30 759.88355      729.65996      779.41164      862.13441      836.39816      820.25590      823.82519      852.92457      984.40223      939.37955      896.26108      1061.12745     1022.12533     1056.40525     967.44400      907.40335      951.33821      996.55776      1030.84945     670.47209      761.28869      660.53982      742.67802      709.14045      629.10325      742.73994      913.34561      1149.12741     1257.50104     737.80613      636.44331      983.50979      1045.00100     884.65207      821.54227      697.25841      733.41663      877.80798      843.21503      902.93470      709.17727      862.33660      955.61250      973.17175      915.33373      876.14621      
1968 09 30 833.25999      789.58323      852.16592      940.35152      918.20776      892.30277      898.57833      955.09554      1122.40012     1057.50193     1006.48947     1222.45032     1192.82404     1203.95007     1099.10201     1040.11267     1083.55620     1129.01777     1167.16435     732.73107      824.60927      761.83236      838.56383      806.72581      689.12319      863.48199      998.26286      1335.84427     1481.23589     827.74171      733.41692      1137.52310     1202.73673     987.19230      912.94161      791.68301      815.14895      970.04888      924.68230      999.16240      771.43101      963.97893      1070.01611     1108.82780     1037.77355     984.52753      
1969 09 30 665.18810      617.67676      660.50218      728.56210      713.14725      689.46474      684.66587      721.96977      843.67480      806.51602      748.53010      928.35487      852.03391      894.13821      846.53769      772.44381      812.90099      859.55133      894.36218      505.09912      603.56975      497.65410      595.14193      551.77698      453.26957      596.04326      764.58375      994.02293      1115.57168     601.05013      489.50007      842.74271      911.79223      749.13204      700.81095      566.46414      601.49105      746.10218      718.64043      768.23748      592.84121      741.96741      822.22331      830.85945      784.64863      764.18604      
1970 09 30 463.72380      425.53110      495.51585      591.77236      537.17796      514.42360      523.71409      548.44128      649.38803      554.26187      485.74774      651.88450      548.51915      585.69982      596.04069      604.71113      623.18282      630.95072      660.67396      289.22846      369.12295      278.94689      371.88206      350.77208      237.22453      342.49970      500.48027      664.84115      775.14816      365.63860      288.52046      590.45498      630.75330      584.53883      501.63328      366.62999      399.90615      586.01449      543.27596      587.85196      401.89923      574.55347      660.35413      659.74543      627.28656      584.86137      
1971 09 30 714.94257      676.19891      722.98836      788.30459      773.63917      760.26482      756.39668      789.30697      923.82434      844.50126      788.38132      970.88264      918.66016      948.00907      900.65391      857.47896      884.99045      914.78137      947.86793      570.12530      654.63154      571.18398      644.70657      636.49985      526.08789      654.15007      794.85256      1082.50218     1207.26237     642.29306      556.85311      887.29657      941.96619      829.66758      736.75821      613.04723      642.11553      824.89616      791.25817      827.48172      646.64054      823.17382      907.50806      921.21677      874.79395      847.17383      
1972 09 30 1014.05245     954.57438      1029.67566     1092.41301     1089.48922     1059.21095     1066.27672     1146.11961     1327.94492     1260.48275     1206.81542     1413.18048     1433.54933     1433.23982     1317.66161     1211.32050     1268.83182     1317.04467     1352.09878     915.38594      1021.13105     929.16518      1013.63743     945.91779      868.17005      1031.83911     1212.05100     1663.43019     1808.12816     1022.50757     905.13104      1297.36580     1365.53813     1157.95794     1076.91888     933.20720      983.86315      1156.59020     1082.40489     1154.61927     966.61508      1164.28993     1282.41905     1319.79297     1230.44185     1200.66575     
1973 09 30 436.85545      405.33695      472.65331      558.60686      523.33925      508.74766      519.26679      555.39820      637.47126      535.54905      469.61584      616.66920      528.14598      584.51859      586.29597      600.44584      612.75443      616.06480      638.79190      343.60012      414.24660      307.57404      371.72423      371.58291      296.26036      344.84186      498.44274      620.36223      720.47649      378.65124      298.15998      570.61029      603.04146      574.76190      494.78261      361.90017      403.52507      572.15528      533.10666      576.67575      391.70935      567.32283      659.01861      649.92983      623.61688      573.85468      
1974 09 30 787.01155      715.38959      768.40489      834.50062      821.00497      796.38244      798.26984      837.88304      983.98159      935.51174      874.41631      1069.90365     1018.34626     1049.01462     988.68268      897.45284      937.19931      986.78083      1027.21064     623.92184      716.09476      630.72445      705.00464      668.32658      581.45154      717.98965      880.94884      1178.91309     1303.71473     701.36699      598.21757      973.06545      1039.05151     870.52682      808.07988      672.92146      695.96492      869.48905      835.28562      890.46888      709.11929      866.69295      957.70394      972.09027      914.73464      884.80123      
1975 09 30 604.20507      573.04626      639.21041      737.80419      693.37265      691.24730      698.43006      709.07939      800.26721      732.12986      676.06741      814.90117      728.35359      791.70339      759.74360      753.73204      784.43410      801.81089      828.66135      529.15508      601.38105      519.12211      577.85706      573.96035      485.86326      567.70495      701.48231      818.75246      913.34269      580.56303      494.41865      765.69430      805.24693      743.85792      666.70987      557.00606      587.57624      731.51780      714.76565      755.00278      556.75292      709.47309      787.90646      796.28707      766.68911      708.36761      
1976 09 30 948.74639      908.44377      953.85213      1023.42954     1009.93959     993.33591      998.24325      1037.62093     1188.26421     1125.53947     1104.49503     1277.19269     1240.31855     1301.16456     1172.48542     1104.57657     1144.98519     1194.08892     1231.54183     825.40348      915.77436      879.15238      931.27956      891.51216      793.08905      968.93402      1075.51289     1432.78183     1568.74752     916.67748      838.41468      1174.13128     1240.80190     1069.86413     987.48512      882.70406      897.92147      1071.11705     1032.36461     1086.52667     886.55309      1059.50026     1164.35810     1177.56105     1122.62174     1076.79532     
1977 09 30 480.15986      434.03021      495.04651      573.44480      547.15506      530.15180      534.50358      556.38895      636.26460      553.29744      470.36540      630.09710      495.52238      567.51618      589.14860      614.45622      619.23097      624.72991      654.43301      309.61910      371.48715      298.95418      371.98895      370.50794      258.43156      342.67416      482.08731      605.31080      719.90788      371.86020      293.75144      570.53402      617.59117      594.92793      508.93613      376.57929      405.03386      596.45266      565.57965      605.23151      412.34139      577.79298      667.78157      647.22394      635.74030      582.54235      
1978 09 30 639.86704      592.16495      633.85771      699.84020      686.72994      665.40392      671.81871      703.69896      831.00679      778.33444      730.79666      913.59872      802.06635      847.57420      821.41282      764.59688      800.32157      841.36247      882.38788      468.70879      552.29301      495.19628      578.21200      552.08635      430.49173      579.87159      725.40064      965.78750      1093.87155     563.38318      485.96438      821.51115      887.53075      737.34886      679.24925      565.25659      576.31059      733.22192      704.88364      756.09780      568.17179      727.07930      813.76355      820.99602      778.58629      745.81883      
1979 09 30 369.99573      337.47165      394.67105      465.96027      444.31277      422.98051      437.23084      445.31119      532.90112      454.47065      389.82937      552.67616      470.32638      515.90242      494.92622      498.43020      508.01499      542.12512      551.33775      247.60496      315.73120      211.73337      283.75931      271.28969      196.72595      265.76041      419.92149      583.44806      688.65366      281.93618      201.51737      495.15199      535.28871      478.20231      406.06868      273.13125      308.51118      473.39875      452.15714      482.57422      313.07411      470.12437      542.19976      542.52776      511.71522      486.98106      
1980 09 30 628.69835      586.30468      643.89206      738.37429      696.16903      687.45345      701.02154      719.77363      856.43622      767.07619      717.40627      908.20961      875.76871      879.85851      822.55496      793.04871      812.72480      840.66845      874.53516      521.17926      598.18419      537.88239      589.93405      561.71447      489.26487      625.43996      717.76345      1059.12161     1183.37859     584.18384      509.70380      810.82591      860.36687      761.63335      651.72624      542.04134      564.14181      758.32191      731.12845      768.73159      566.73501      740.77540      834.36983      846.75900      807.02732      744.80589      
1981 09 30 770.98520      708.28902      757.29329      835.88064      812.94434      791.04997      795.09410      827.41266      964.29945      910.90374      861.14759      1051.34168     985.95524      1007.76900     966.65601      891.27027      917.69701      963.01969      1002.13594     579.04605      681.76622      600.94152      692.21860      650.46693      523.03843      714.97866      850.13178      1172.06692     1301.97442     686.37099      591.76410      948.82977      1017.07399     857.79194      784.10191      669.80080      678.90035      856.70958      832.91201      872.25127      701.45097      856.24684      944.03431      955.05188      914.02682      870.12697      
1982 09 30 851.40604      818.56624      869.37265      950.47657      917.38550      902.31009      907.56621      927.39908      1083.07030     1036.19784     1033.92051     1181.87735     1212.97985     1212.10099     1061.57428     974.17654      1029.48208     1084.67802     1117.48684     798.64384      886.75729      794.14743      845.79969      807.35000      767.49994      889.19990      1017.69622     1378.40746     1486.55931     849.52305      763.87920      1086.82103     1140.08873     959.41559      883.37929      786.78792      803.86803      961.23345      931.70826      968.65250      799.14531      943.01590      1015.62979     1052.32063     990.37050      950.49595      
