      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 530.61123      530.58578      501.14334      645.19166      458.93850      568.56228      659.04532      608.49832      631.96410      581.82509      607.33450      429.34238      543.11826      416.22892      571.60660      726.95973      602.80702      426.17708      450.02657      743.69172      595.26383      648.34968      541.48313      620.17309      632.18848      594.30816      412.81778      495.80968      418.55503      689.46364      575.79930      483.69345      341.22075      680.60497      552.40376      531.38369      594.58821      630.83367      623.86677      601.89254      605.69894      509.31585      585.69211      630.28260      630.00670      387.48181      
1957 09 30 535.46782      537.21271      527.37049      660.50783      484.11997      587.83015      673.91885      631.29519      640.97383      588.07085      615.43649      438.69166      570.37426      465.91990      575.76353      737.48358      617.62646      463.53171      470.93571      771.88748      630.40899      678.51850      568.70679      641.65722      673.15128      625.68488      443.87213      505.83895      416.68819      705.84669      604.28006      501.94741      373.14088      688.45452      564.79978      553.53580      611.30137      637.62885      636.37212      610.38539      611.76174      531.69462      593.31124      636.51784      640.48295      423.57957      
1958 09 30 590.39364      557.24604      542.41375      720.93382      484.88819      619.29058      730.79151      685.90870      730.70200      653.08927      688.14363      436.04615      524.95894      405.35314      656.08630      846.14168      688.97624      452.45995      485.40677      787.97073      611.62850      678.76296      541.83362      662.52258      614.18942      621.80738      376.66025      480.72765      393.50125      756.88813      571.21405      502.58690      311.83647      786.15238      599.08328      546.49010      628.81344      713.07670      707.97339      686.47313      668.58896      563.54913      680.68184      730.15603      739.58352      400.73588      
1959 09 30 557.49861      575.23876      570.17409      707.31656      522.33692      635.31204      721.58363      669.68212      669.37914      617.47278      645.34971      461.90901      635.33871      521.00239      599.81188      775.36531      645.98491      482.28785      489.64679      868.54518      723.72530      756.38709      627.46949      701.10633      788.15571      694.60023      498.39486      539.73254      431.14440      762.16232      674.76858      539.87789      395.76926      725.76837      597.85818      593.50370      659.22781      672.13294      677.22321      646.13387      641.94878      555.97515      617.34487      663.07518      660.29692      437.21918      
1960 09 30 533.00230      549.00194      546.03240      671.80487      498.78401      604.70123      686.77479      640.87100      641.46096      594.80983      625.66268      445.68530      629.72853      521.56973      576.59516      737.27888      620.63475      470.49690      472.71008      850.81836      718.71798      738.53530      613.20593      677.91828      784.19540      678.88313      493.96221      528.73368      418.71621      738.72174      662.65177      522.04763      386.68051      690.12816      574.17659      570.94905      636.37678      638.50863      643.89625      614.67550      612.50307      530.92885      585.47990      633.13228      632.47030      418.29542      
1961 09 30 567.82502      560.48681      556.46837      713.78603      506.02864      626.63363      724.85913      675.82811      693.99579      623.82881      656.15396      434.87340      564.40147      451.25306      621.26858      807.15859      661.74284      464.03518      481.53722      831.30176      668.84149      710.83342      575.33408      672.51467      709.90296      645.42531      427.74972      494.50716      400.02189      752.74431      619.14772      509.27715      337.71824      754.36019      593.89778      562.93871      638.13477      692.92954      691.78583      663.91924      648.21031      558.37205      645.61574      691.72457      694.59078      420.14302      
1962 09 30 554.34055      572.75947      579.47532      699.63111      534.00595      638.43612      719.66120      674.89907      661.30612      612.40542      638.06116      473.04877      652.33133      553.25434      594.43263      761.18551      644.52965      501.31943      499.81007      859.39734      751.27051      746.86209      638.63888      691.74413      786.98012      694.43916      540.14316      548.73270      442.74494      751.91591      683.54962      552.00070      424.05878      716.67198      607.64352      600.56854      664.67436      665.84928      674.78792      642.86584      631.77660      563.57614      606.15037      653.26427      653.24462      454.46098      
1963 09 30 563.42101      566.90867      561.66920      706.22275      514.57290      629.01621      722.33875      680.25065      693.75096      631.96919      664.65719      458.53399      612.34499      498.77406      620.33081      801.00360      668.10292      487.93048      496.31836      843.75454      698.30488      738.92419      609.86281      696.45421      737.99727      678.68358      469.73446      532.77267      430.66667      765.87189      655.14601      533.18404      377.40114      742.46654      603.08091      586.59830      656.93676      680.24111      679.51437      656.23997      647.69300      563.41297      633.97566      687.44624      690.76953      440.47062      
1964 09 30 568.14075      605.35809      633.65883      749.12842      597.50106      690.59779      764.67871      720.57156      682.68605      632.72314      651.45836      514.00823      718.95668      641.97790      608.63088      784.04428      676.78521      564.15712      545.23936      935.33572      824.86797      816.69290      699.59147      744.08761      885.10163      762.01019      609.58196      592.65811      474.33388      797.03868      754.67498      597.38106      496.47239      741.17199      639.64641      649.96366      708.94920      694.64679      707.62661      671.52802      650.86416      606.39521      618.49054      670.05343      668.92103      512.75602      
1965 09 30 568.04707      569.16968      563.47729      696.78577      506.46769      622.91916      714.21294      669.53388      692.50421      629.45329      660.93903      448.81382      597.37612      479.08663      617.86220      786.37528      662.97756      478.67372      493.83275      794.18709      657.45128      696.28051      596.91340      665.11759      672.64763      653.09412      457.37417      523.11155      424.24266      742.48097      624.03605      525.19054      369.10458      737.91108      597.16220      575.34343      645.61259      679.20463      679.27074      653.41739      647.12639      558.44817      633.80212      686.47343      684.54948      426.39416      
1966 09 30 565.56044      578.05791      579.60482      706.27498      531.08727      639.71494      723.54030      677.44252      685.45970      631.45845      660.23457      487.86134      656.85912      550.43831      618.26200      777.54758      659.84752      502.54982      508.84490      868.80624      738.72995      754.44280      634.76763      699.99779      780.49834      707.65868      519.80173      570.80016      470.25811      769.05951      677.35521      555.78157      424.30721      726.08800      607.85500      601.97534      664.88292      672.86558      676.80711      647.40208      644.73816      567.53914      619.12205      675.04110      671.75658      452.84358      
1967 09 30 581.42489      562.44553      554.23438      716.34098      502.83415      627.86498      730.20113      689.05532      724.72641      653.58970      683.49351      454.18859      576.95383      447.40304      657.38635      827.42501      684.24855      471.62618      496.41411      834.73337      667.66467      713.93843      577.96110      680.16710      696.12108      652.46905      421.48262      518.96066      426.68954      770.23287      616.79896      522.38551      338.09270      770.51677      605.81733      570.59465      646.76407      701.62389      700.21988      676.82006      661.71674      570.17018      670.21807      721.43000      724.41753      426.98911      
1968 09 30 595.35995      615.48879      614.45583      750.87599      565.90677      681.80022      769.71820      714.38603      714.29234      665.99385      691.78624      511.62075      736.24102      610.04550      645.38359      812.18916      689.20319      533.04833      533.74893      947.05820      817.36209      823.15014      690.37432      750.12838      875.01969      763.09060      577.79531      616.20800      490.69796      819.97095      740.55100      595.11022      449.61587      761.95313      646.99066      644.16617      712.69330      708.41708      717.26444      680.10302      681.50368      597.88239      645.15114      702.59568      699.46721      480.95870      
1969 09 30 559.23080      562.95517      548.88625      699.16340      499.71397      620.34228      716.27772      664.62445      688.69064      630.22873      663.74603      454.82868      620.20729      490.39665      619.94925      790.80072      655.85091      470.40957      484.70354      856.83660      696.96841      751.22569      602.43552      698.19274      759.18442      683.79892      456.66342      541.17336      435.41912      765.29862      647.90164      526.09295      359.28652      734.51166      590.88320      575.02128      646.57938      674.29875      675.16723      648.70834      642.48397      548.45452      629.75307      682.00572      680.02024      415.74409      
1970 09 30 565.37200      560.66022      559.66185      694.88247      503.11792      619.78850      713.21105      672.83639      701.53588      638.55065      668.84251      464.51851      607.68611      497.20257      631.08960      800.14429      668.81084      481.10017      499.89859      831.54952      689.05813      720.92230      592.86189      677.91311      720.72335      665.56565      464.33142      537.10415      439.73942      750.81832      629.39713      535.76318      379.68390      742.88761      598.91201      572.06453      644.24763      680.83388      677.99534      656.49496      640.74808      558.75534      639.02708      693.92213      690.21687      426.02200      
1971 09 30 553.27316      569.29153      565.99346      692.64848      522.21201      628.36494      710.53349      668.67725      667.69257      621.71857      643.18018      470.34740      649.69471      523.07191      606.22894      770.04232      643.85574      489.52259      492.81075      851.69407      718.35815      740.55887      625.42295      689.22633      765.02868      689.02571      507.99429      554.31271      446.68499      753.00207      667.17967      539.99259      405.13141      715.27576      601.47908      595.53581      657.62268      662.54650      667.90677      637.83351      634.39123      554.13211      609.32677      660.20716      658.02907      439.01817      
1972 09 30 540.45462      567.74922      546.09137      671.84633      499.63641      603.90292      686.45006      644.45470      650.75959      612.56837      639.75872      465.75777      676.81963      533.23007      591.08935      748.87272      624.85675      474.66208      480.42396      884.39064      737.65218      763.89742      642.93299      696.19070      822.00896      709.76155      509.50675      568.87346      456.86456      760.58179      686.52650      537.80988      399.71213      695.76297      586.25780      594.08184      659.33137      643.47332      644.83911      618.28165      624.83935      535.60732      595.24612      642.52866      635.83322      422.07653      
