       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 40007.19782    55907.39526    28900.48459    202299.20122   199134.79469   104911.13924   416470.67545   1310056.86470  41255.86422    48116.88937    35753.65451    446234.51487   11034.83297    29943.60209    16732.14484    487.44612      6881.88811     4750.41043     313201.29106   19096.44696    428.00715      66833.20456    605247.78026   849959.22502   303820.06649   262685.44929   334638.03134   575658.24481   279547.00295   12257.24127    0.0000000e+00  38532.90924    0.0000000e+00  584757.07406   234488.83939   0.0000000e+00  112231.53603   0.0000000e+00  0.0000000e+00  198370.95265   0.0000000e+00  0.0000000e+00  202148.76023   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1957 09 30 25790.54777    40360.92817    26571.79931    195373.45189   189667.14799   99750.19011    366586.68459   1224624.14525  29844.36952    29828.73774    33631.70681    381169.79561   9485.50708     26457.18928    11670.06374    436.47818      6154.36647     4294.19795     171573.15464   15516.98714    351.26670      44619.15806    569395.54689   771670.15007   203594.02392   244036.85386   298011.47074   476875.72893   251816.84404   8375.59449     0.0000000e+00  30300.15727    0.0000000e+00  547804.69479   181658.79381   0.0000000e+00  79770.42380    0.0000000e+00  0.0000000e+00  183522.20281   0.0000000e+00  0.0000000e+00  188526.93129   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1958 09 30 40756.38173    59350.64152    34217.79872    252210.49265   235118.59184   125089.33116   491022.06660   1612475.97776  42545.73955    52408.67312    43393.83336    527341.46008   13124.71663    33084.17386    18029.24508    457.93430      6459.13427     5595.64322     294596.96025   22398.24844    509.38185      69245.61574    745469.36770   1011845.92044  302879.40460   319868.07565   402949.18377   636583.40586   269452.83950   13062.89639    0.0000000e+00  44606.50139    0.0000000e+00  721598.56130   272102.10761   0.0000000e+00  123063.81853   0.0000000e+00  0.0000000e+00  245807.04416   0.0000000e+00  0.0000000e+00  250583.23025   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1959 09 30 24554.71323    37907.88398    25346.98953    194326.63474   184676.86260   99063.06920    357557.27439   1189895.07717  28928.24107    31549.13492    33018.71402    376251.06844   9306.99808     25875.22797    11189.88819    433.76964      6116.96172     4197.44939     168596.79080   15061.80852    344.36153      43136.10196    558486.56655   767084.25075   185417.44168   233722.42421   289756.51573   457990.86599   250338.32671   7745.74898     0.0000000e+00  30689.02764    0.0000000e+00  539939.25760   187650.84907   0.0000000e+00  79045.09400    0.0000000e+00  0.0000000e+00  183194.05806   0.0000000e+00  0.0000000e+00  183679.10567   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1960 09 30 24099.38907    36174.61013    24618.60324    191475.00359   180217.81477   94819.06567    346859.04010   1165205.16392  28035.13355    30260.51131    31935.55514    363839.98606   9005.00819     25191.63087    10278.97709    430.32253      6068.74677     4082.28957     187962.52156   13487.90034    334.05227      39983.53875    537207.38770   733587.28130   177921.83912   227863.91325   279284.76257   455531.11426   247675.42587   6919.68401     0.0000000e+00  28700.09642    0.0000000e+00  518608.41893   173986.73346   0.0000000e+00  73227.14599    0.0000000e+00  0.0000000e+00  176649.94208   0.0000000e+00  0.0000000e+00  179430.85839   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1961 09 30 32073.25561    47377.18934    29984.31779    221765.05712   209077.12799   111254.75411   435562.93718   1417143.18118  36140.20502    43000.74829    38593.48766    461865.34569   11728.81373    30042.96229    14531.93247    446.18748      6292.99713     5054.46778     246225.23169   18369.22196    451.94357      56094.86912    666961.38618   904411.42012   241825.67817   282286.23143   357499.66030   558953.25763   260300.79665   10390.48270    0.0000000e+00  38624.24272    0.0000000e+00  640840.43259   230988.47059   0.0000000e+00  99554.70492    0.0000000e+00  0.0000000e+00  219356.59375   0.0000000e+00  0.0000000e+00  224983.77930   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1962 09 30 20265.22009    32361.82652    24344.97534    189599.49629   177357.60841   93965.41464    335178.50551   1139979.17305  25469.88078    25537.79507    31024.97931    350955.05836   8725.75743     24563.68118    9030.72267     437.47176      6168.61922     4029.69128     153234.89696   13049.26404    316.58737      34768.91602    533269.42866   726012.95907   152589.41139   221808.15548   271298.13405   433460.83793   251015.49303   5920.96821     0.0000000e+00  27190.43796    0.0000000e+00  511111.29807   163945.39396   0.0000000e+00  66335.67657    0.0000000e+00  0.0000000e+00  173039.17563   0.0000000e+00  0.0000000e+00  173945.62544   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1963 09 30 27553.94128    42745.64978    27029.09337    218575.09793   199577.40012   106225.27552   381206.94522   1289919.47723  31509.79265    34740.71020    36194.47220    407344.23992   9993.91172     27143.56238    12713.59820    432.38645      6096.60974     4517.56984     199327.14459   16226.57654    378.13298      49573.28168    597029.39203   811426.27328   215348.98133   250206.00583   310214.02278   494438.86229   250481.61908   9009.06878     0.0000000e+00  33137.86185    0.0000000e+00  577753.04866   201661.29430   0.0000000e+00  87830.45160    0.0000000e+00  0.0000000e+00  195583.30710   0.0000000e+00  0.0000000e+00  193492.59971   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1964 09 30 12011.85792    22936.33021    21406.63371    175611.89216   166828.96267   87046.07697    297176.60823   1047829.17403  19511.04833    16177.96312    28793.82631    306497.57802   7596.39764     22523.83806    6926.09892     423.86013      5977.30707     3683.58610     90910.62116    10692.04281    263.68208      27633.03927    477872.60218   666820.42316   111020.18766   199596.95775   238600.76199   372420.87532   241930.41669   4735.57463     0.0000000e+00  21922.91602    0.0000000e+00  463642.09865   128159.65304   0.0000000e+00  48861.81707    0.0000000e+00  0.0000000e+00  157608.63732   0.0000000e+00  0.0000000e+00  155302.56874   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1965 09 30 28909.20907    43215.14009    30057.96724    227266.17827   211187.28810   112146.07555   439210.61173   1433801.74951  34503.75345    38042.01442    38223.43041    462609.25907   11465.01941    30507.95436    12412.66647    449.67212      6344.23709     5157.75761     228427.14088   17125.96277    433.63650      48193.95378    652762.42107   869535.65395   206424.98613   283087.44480   359953.15171   553175.67020   260936.63487   8724.75232     0.0000000e+00  37385.93810    0.0000000e+00  633527.13755   216750.36178   0.0000000e+00  87724.40260    0.0000000e+00  0.0000000e+00  212191.76837   0.0000000e+00  0.0000000e+00  220148.74176   0.0000000e+00  0.0000000e+00  0.0000000e+00  
