      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 93850.08873    44585.35050    10127.39994    934.48467      3413.69072     0.0000000e+00  0.0000000e+00  273103.01763   311204.72569   6308.23290     7416.99857     49963.24830    0.0000000e+00  0.0000000e+00  35762.35352    9880.59730     95781.63626    4419.34849     1965.27327     7782.73739     1008.23643     177960.53136   152592.58705   468992.83945   943.27283      1377.62981     0.0000000e+00  0.0000000e+00  0.0000000e+00  7567.35959     19761.57549    26125.58171    91.04496       74478.45212    243369.43029   269597.11108   74069.74423    114550.96573   21784.62581    92683.66598    205762.23925   104440.38499   138690.10703   342707.63509   71274.43537    15364.00345    
1957 09 30 54800.72926    38617.16869    7912.34408     517.37640      1907.82459     0.0000000e+00  0.0000000e+00  115412.38303   195484.61918   8723.25365     4157.11021     40815.97993    0.0000000e+00  0.0000000e+00  43724.58686    6405.47937     74927.03757    3263.16783     1650.60829     4287.50887     590.73094      127903.93201   103440.46280   344848.87700   808.16021      975.69670      0.0000000e+00  0.0000000e+00  0.0000000e+00  4711.30080     13982.07944    17959.96117    61.95870       27135.25880    122279.40793   171089.41623   43142.91937    72003.32020    12061.65277    69367.08808    255356.99801   55514.30069    82115.97575    206277.51596   42867.21399    6529.23117     
1958 09 30 69453.99473    40817.38295    11111.10394    908.25414      3128.95659     0.0000000e+00  0.0000000e+00  169668.47647   211470.41435   9739.60389     3704.88064     46121.87388    0.0000000e+00  0.0000000e+00  52155.25850    9369.32984     89676.41574    4158.59103     1658.63566     4994.59178     635.16065      109703.05024   95551.74376    304019.13285   1107.49889     959.09210      0.0000000e+00  0.0000000e+00  0.0000000e+00  4194.29479     13365.19900    22918.63414    77.00629       38688.37008    169334.46262   171067.09553   55294.15608    92063.15217    17607.89582    89252.51714    302976.52519   73158.36556    113696.11863   239825.66960   62279.66451    10545.11660    
1959 09 30 84611.67850    50493.96809    11573.30299    1096.99712     3980.20587     0.0000000e+00  0.0000000e+00  210827.99832   319248.83598   13054.05883    5229.23606     57801.21154    0.0000000e+00  0.0000000e+00  68722.08809    11245.84458    117887.53214   5969.80229     2719.83493     7241.96758     955.68912      148959.57007   141525.97180   416964.15468   1763.86346     1262.89246     0.0000000e+00  0.0000000e+00  0.0000000e+00  6435.37929     19424.84086    30278.72358    101.97295      50972.12101    217180.68573   239473.20047   82299.36854    120426.10329   22979.34372    114790.07753   359554.99365   93195.60075    153829.47069   348517.53255   77707.98918    12427.58434    
1960 09 30 83207.14837    47857.37542    12582.16564    919.47527      3319.57531     0.0000000e+00  0.0000000e+00  180629.68883   239368.16572   9539.28011     4844.73495     52241.72013    0.0000000e+00  0.0000000e+00  56692.22323    10633.80929    105672.54555   4177.80888     2081.35815     5396.28168     714.50198      147135.01898   134352.59559   387166.26142   1383.51738     1214.72276     0.0000000e+00  0.0000000e+00  0.0000000e+00  5803.96831     19789.92311    22045.25198    78.12727       42939.55399    174977.34564   232448.60375   66046.87039    104681.43417   17277.59509    89613.62540    385197.38388   80410.49322    112739.87856   277190.86971   69814.11883    9581.09568     
1961 09 30 90725.33360    50961.28815    12909.80993    914.35543      3719.13764     0.0000000e+00  0.0000000e+00  205114.20783   253471.84507   12005.10704    5690.61981     51527.97036    0.0000000e+00  0.0000000e+00  58438.75912    10415.25630    111888.40062   4770.87408     2167.70145     9536.31632     1043.60466     171229.54901   151660.96809   447365.02434   2198.47500     1405.60018     0.0000000e+00  0.0000000e+00  0.0000000e+00  6850.54292     25769.75435    26010.75779    85.21569       47850.42146    222552.66422   270021.39928   73383.71635    108608.26141   20403.03835    101977.17775   405495.24164   92445.90806    131933.17603   274161.11004   71737.22584    12224.69378    
1962 09 30 65857.53540    38685.68962    9549.16659     758.29712      3070.66843     0.0000000e+00  0.0000000e+00  136261.26123   195630.39741   7972.75215     3957.02013     44016.10638    0.0000000e+00  0.0000000e+00  41514.22659    7434.49415     69455.59100    3326.33398     1526.65727     4665.26809     499.98818      129175.59782   105384.05770   358737.73508   1056.34785     1146.98053     0.0000000e+00  0.0000000e+00  0.0000000e+00  4959.96549     13768.04240    16563.32431    71.32937       36073.46769    135786.08597   191440.51706   46211.03205    79075.07166    16526.45401    79204.95033    321437.71052   62978.59978    92281.23305    206391.89938   48719.86595    8102.80446     
1963 09 30 54873.72458    33678.88929    8492.40406     732.77006      2585.59360     0.0000000e+00  0.0000000e+00  140262.77112   177042.60830   7837.94233     3851.11701     40010.54993    0.0000000e+00  0.0000000e+00  42042.98592    7690.64881     78768.20108    3466.17532     1702.74271     3989.34295     620.74340      111926.79466   107125.30144   312373.64967   812.66458      948.20363      0.0000000e+00  0.0000000e+00  0.0000000e+00  4681.50915     14262.94382    21966.15991    72.71318       33224.99896    149123.86482   192981.60586   48129.58920    72464.28345    13963.68588    72355.12412    247194.04793   65401.99321    92311.44384    211496.25028   50136.12706    8428.97438     
1964 09 30 93387.39666    56389.30376    15099.25549    1270.54164     4502.80620     0.0000000e+00  0.0000000e+00  243278.88429   303860.26328   12301.77408    5904.01747     57395.37906    0.0000000e+00  0.0000000e+00  62210.82287    13065.10000    136265.95642   5538.86152     2473.41308     6846.80981     906.62576      164869.28802   146167.51483   450042.71281   1741.38176     1251.95909     0.0000000e+00  0.0000000e+00  0.0000000e+00  6711.94117     20426.93224    28898.95474    92.16366       58838.64097    239328.16052   268880.52902   80846.83479    132043.63111   25354.81771    124588.86396   451456.40991   114263.52910   167030.70188   354357.98643   90900.94230    15019.16376    
1965 09 30 61900.43040    39690.47237    10325.93117    761.84258      2648.71981     0.0000000e+00  0.0000000e+00  141366.30105   200397.96904   8600.79387     4647.00219     45493.30359    0.0000000e+00  0.0000000e+00  48662.71256    8054.27515     83999.68071    3706.53083     1730.21657     4466.27242     615.44492      127404.30406   100811.14375   344660.02131   1146.22215     1042.23116     0.0000000e+00  0.0000000e+00  0.0000000e+00  4328.73292     16111.46476    19342.22178    71.14306       32192.73993    149107.80056   185372.11136   53830.00600    73986.54652    13668.89306    73390.92566    306659.57700   55221.75226    79435.24508    215905.40500   46552.30587    7367.14406     
