      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 524.76253      519.75772      497.59951      640.09452      457.04817      565.12903      656.01218      603.96050      625.28500      579.41644      593.50553      434.19679      540.83742      413.82027      570.05344      719.47002      599.66779      423.70685      441.56936      741.37915      593.46907      666.29847      542.42116      630.13264      629.35790      613.77594      411.07831      508.21342      423.74345      690.74973      574.32013      479.82606      351.70195      676.17797      551.37380      529.63998      592.72415      627.22682      621.10347      598.15060      571.71829      506.63042      579.14408      624.29819      627.38917      385.85450      
1957 09 30 534.99760      527.32587      525.48952      658.56323      482.58293      586.95378      672.60660      628.44096      635.79405      587.38836      617.15770      443.80352      567.69333      464.76115      574.57447      729.82085      615.59256      462.03102      464.74474      769.23809      628.32218      692.63455      570.57343      648.73988      669.54521      644.79655      442.19408      515.96065      422.21329      708.53875      605.20944      499.30621      382.30347      686.42973      563.85480      552.90496      609.23698      636.86506      635.83550      608.92764      608.45276      529.69992      587.82566      632.06545      636.77446      421.88097      
1958 09 30 589.34952      534.47554      539.50041      718.10086      483.78927      617.93751      729.58502      680.30157      723.74339      651.59981      690.19365      443.77871      521.50873      404.00289      652.64149      836.66681      686.55258      450.94599      476.19324      783.97998      608.74308      690.84722      541.74089      666.48993      609.94944      648.45053      375.01462      495.88332      402.23717      757.67199      569.75545      497.80764      328.53578      781.88322      597.72653      544.75015      625.68919      710.17326      705.58810      683.68470      663.86843      560.24106      672.29638      723.98444      731.77388      400.06377      
1959 09 30 557.34861      568.84372      566.42005      703.01279      520.36175      632.63885      719.03569      664.41360      663.91985      615.80699      651.35188      467.61531      632.82847      518.75333      597.99877      764.68773      641.83473      479.70045      485.23718      865.61691      721.23282      769.58146      635.80594      706.84142      784.63991      716.25234      496.59504      550.52303      437.83086      768.53568      678.62847      533.93484      405.56493      720.87001      596.76175      595.64915      657.04608      668.86564      675.58200      642.49977      638.54980      552.63984      611.20578      657.71280      657.44127      435.27123      
1960 09 30 533.21668      541.96109      543.17206      668.50560      497.15806      601.85019      684.00614      636.17446      636.13263      594.01683      629.67514      451.09438      627.40472      519.63189      575.49263      730.98919      617.37381      468.21891      467.35325      848.17190      715.73920      746.28645      618.38178      678.64576      780.77022      696.91292      492.47323      539.59416      425.82404      742.88977      666.34348      517.83952      395.09908      686.00682      573.06502      573.10861      634.46622      635.19338      643.05447      612.19863      609.84636      527.92431      579.04095      628.07410      627.75713      415.54477      
1961 09 30 566.96363      547.46916      554.56439      712.83433      506.02181      625.84363      725.22396      672.76824      688.08735      622.55563      658.30124      441.30292      561.40749      450.02897      619.36645      805.15207      660.18921      462.84117      473.57103      828.33227      666.91815      720.93572      574.89283      675.32641      705.96520      665.66091      426.21132      508.29147      408.26346      753.55541      616.86811      505.35197      351.16780      752.40899      593.12423      560.45263      635.70876      690.91115      690.80963      662.37412      644.30709      556.09962      638.53809      686.57628      692.72952      419.22198      
1962 09 30 554.56222      566.51666      573.81786      692.92923      530.60329      632.39159      714.12629      665.66864      653.81021      612.29459      640.36033      477.55407      650.94114      550.99683      593.68800      745.81904      639.15395      497.72177      492.92125      857.44848      748.86545      756.34597      640.34998      695.10294      784.39345      712.84537      538.35779      557.40113      447.06136      754.52497      685.16136      549.41051      429.92210      707.25767      607.15109      600.79789      663.21495      658.34794      666.87728      635.79545      629.38403      558.46875      596.59075      645.90089      647.25815      451.60340      
1963 09 30 563.04457      556.81693      558.85872      704.51290      513.69081      627.38865      721.87982      675.20340      686.99792      631.14413      666.90965      465.04123      609.62418      497.54327      618.82781      790.28524      665.29550      486.12370      488.69482      841.37944      696.15605      751.41171      609.80633      702.32643      734.31882      698.23265      467.99732      546.00907      438.52591      766.92239      652.40171      528.75952      389.69325      738.72228      602.06088      585.60009      654.77734      678.23127      677.35964      653.00776      644.21985      560.54016      627.08094      681.48492      686.67249      439.27334      
1964 09 30 568.33972      601.14356      631.88048      745.44212      595.52497      688.77723      763.18270      717.06930      680.14966      632.36780      653.17399      518.21115      717.63492      641.19794      608.20542      774.07975      675.07251      561.42477      541.61981      933.25110      822.92661      825.68445      699.83676      748.32847      882.15966      776.71558      608.50712      598.24151      476.61792      798.75441      753.74650      596.49763      501.09853      737.88600      639.11470      649.42325      707.63619      691.79659      705.50224      669.01728      648.62571      603.69079      614.82933      667.08055      666.05032      510.52807      
1965 09 30 568.51771      559.03022      559.00454      693.70359      504.17899      618.14696      712.21637      663.83942      684.62733      628.94710      666.07050      455.57445      594.24930      477.52469      615.81857      776.88318      658.04787      475.13405      485.92140      789.49488      653.46256      715.40331      597.34866      672.57355      669.37453      673.89360      455.41902      537.45712      433.05039      746.76919      626.56460      521.62154      381.58027      733.81410      595.63144      574.44122      643.15203      676.51147      677.37625      651.09816      643.86225      554.10792      627.14249      679.16939      678.87801      424.15247      
1966 09 30 565.75787      570.25894      575.18587      701.41251      527.74401      633.89004      720.36360      672.02185      678.22121      631.00964      664.11138      493.31959      654.54841      549.06012      617.45163      768.83341      655.74000      499.53219      501.89987      866.13431      735.45859      768.81949      636.32770      706.55182      777.19828      726.19690      518.14229      581.53374      475.01846      771.14844      677.45736      553.65001      433.12862      720.52226      607.15155      602.06459      662.75904      668.58619      672.71628      644.11412      641.68760      563.60503      612.78786      668.36172      667.68968      449.95990      
1967 09 30 580.50313      541.50915      552.47873      713.14930      501.98858      623.78310      729.51982      685.87284      719.20663      652.48339      680.68339      459.46091      573.58370      446.02518      654.79469      819.68402      682.89987      470.56070      488.47667      831.51507      665.43134      725.44590      576.71549      684.55568      692.00695      672.68189      419.54519      531.84642      433.41649      769.82923      613.64337      518.59816      350.86231      768.00697      604.90086      567.99072      644.04808      700.47859      697.93369      674.47904      657.53545      568.26504      664.24944      716.56591      721.33283      426.53653      
1968 09 30 595.91798      608.10528      610.50668      748.36084      564.74827      677.96809      768.19271      710.65355      708.00137      665.75165      693.17940      516.91193      734.15764      607.51466      644.41256      803.30724      685.97893      530.51239      526.93527      944.88952      814.12488      837.22523      691.79101      757.71798      871.65585      780.65852      575.51485      627.29303      497.10023      821.60057      740.98878      592.76564      456.81374      758.14633      646.17549      643.89237      710.96719      705.93135      715.25178      677.96750      678.89059      594.65741      639.35956      697.08797      696.01594      479.27624      
1969 09 30 558.45412      554.08078      544.94580      695.38558      497.62822      617.16815      713.27828      658.41151      681.02381      628.86632      667.48030      461.63760      617.14310      488.81894      618.23896      779.38913      651.61644      468.51510      477.16253      852.85727      692.84179      765.59881      603.79946      705.94943      755.06071      704.77955      454.62409      555.42761      444.22455      767.23257      647.45678      519.65951      373.15470      729.93056      589.31783      574.53198      643.94542      670.62784      671.48862      646.38942      638.74952      544.96456      622.74705      675.09320      675.70148      414.12196      
1970 09 30 564.89534      549.94380      555.21737      693.77605      501.31390      616.88438      711.06344      667.03982      693.39019      637.51573      671.72333      470.82861      605.02908      495.76686      629.50713      791.75842      664.58654      478.01824      491.59887      828.69883      685.27164      733.61282      593.21139      683.63984      717.57229      686.98587      462.91605      550.47504      447.73739      752.95635      627.55099      531.68483      391.24488      738.05000      597.81912      570.10270      642.31995      677.62543      675.24560      653.06277      637.17307      554.90713      631.00605      686.58779      686.07946      423.62962      
1971 09 30 553.15113      562.68839      561.35092      685.85711      518.58545      623.40991      704.27548      659.98126      659.40060      620.88302      649.18345      475.72608      647.45264      521.09868      604.85573      754.66383      638.41832      485.79351      485.34519      848.17018      714.48751      755.17945      630.71414      696.18869      761.73616      710.20283      505.60004      564.29229      452.60279      756.73246      669.65455      536.30547      414.79579      705.34708      599.78922      597.31023      655.66160      653.84007      660.07966      631.51458      631.54407      549.47113      601.80744      652.46773      652.91332      437.33222      
1972 09 30 540.80349      562.84088      541.48988      667.43430      496.71529      599.81281      682.41886      637.99650      643.72412      611.19754      644.04246      471.85635      673.76058      530.84142      588.54166      736.82864      619.65670      471.90600      475.68680      881.13813      733.32931      776.63150      646.17826      702.53017      819.06341      729.07179      506.55259      581.88140      465.85973      762.59082      689.50282      530.33427      408.90075      688.01590      582.98130      595.02629      657.02328      637.35245      639.48972      612.59271      622.11444      531.26229      586.56974      635.51538      630.38707      419.69141      
1973 09 30 532.64362      514.96404      510.07521      640.19749      463.09052      569.55361      658.19266      624.34931      653.68235      606.55448      641.65684      453.29026      572.36954      448.15957      596.01303      743.12767      627.99538      452.66505      466.99890      744.33558      599.08343      668.99533      558.04731      635.62871      619.30094      640.12039      425.30688      533.38012      440.30093      707.60163      588.44607      501.84442      375.44061      695.13223      564.72347      545.12657      606.29644      638.18913      631.80525      615.17769      603.64396      522.17045      596.18557      648.02275      647.97278      401.59282      
