       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 276.25091      547.30592      756.60677      865.68810      827.71783      788.20420      787.77897      781.61605      819.86941      611.74117      417.32610      905.23602      796.20286      965.38331      642.82213      850.76077      841.21203      893.95077      945.76904      564.49523      663.93250      321.31801      315.00299      227.15690      478.69496      563.52760      814.72756      846.14464      938.66361      509.91648      327.72830      839.53287      950.55366      771.10160      651.90516      229.15577      569.97621      796.99758      782.33624      802.77183      338.14808      814.05088      839.61795      788.96933      845.40165      814.43337      
1957 09 30 361.28489      515.92006      589.12950      677.07407      652.96812      642.42239      643.75296      651.73168      710.60491      648.61846      464.66140      778.91758      823.23120      785.27148      583.50024      695.41497      689.53957      718.80450      776.23680      516.47285      563.54928      387.62472      431.45740      343.33655      463.04878      533.91051      701.51116      927.31950      1031.54104     543.91760      408.68564      722.11029      789.20088      686.23285      603.83363      358.69334      560.20044      664.80791      656.00807      663.90779      429.09377      664.10016      714.23544      695.03055      700.89854      674.64831      
1958 09 30 210.67517      330.92977      430.28730      549.24692      524.94767      509.22051      508.48479      508.43234      554.24567      479.82628      309.96009      628.67000      591.61617      629.65102      429.03373      548.77654      544.15100      582.34608      646.19258      321.05513      378.89113      228.55998      268.34694      210.34447      258.17656      358.82467      532.40027      692.25803      795.18387      354.36872      239.73023      571.60790      640.37851      542.68784      445.24193      217.86090      381.25153      522.11022      519.55639      526.27825      275.53002      523.25733      562.40910      534.51230      539.45935      548.64013      
1959 09 30 464.34269      667.84540      827.97321      945.23387      924.63916      888.67763      903.90056      903.76320      950.60181      821.42555      528.15100      1000.33476     967.54583      1059.61490     761.67405      938.80575      938.70870      974.19874      1053.58886     604.95915      688.22100      401.63408      485.71631      362.19617      509.05162      608.07343      897.09348      1075.44949     1246.94530     630.60662      465.10543      951.32229      1055.19260     934.15042      791.42937      417.81534      690.68486      915.17171      917.47342      895.17971      570.87220      938.45319      978.30208      926.27556      957.22905      976.33328      
1960 09 30 372.80122      559.51350      655.96055      783.72730      746.30341      730.50019      731.58071      723.84539      775.88385      687.35998      465.36761      864.09526      877.59387      843.75467      637.07069      761.31265      751.57783      802.68226      866.62514      483.92464      538.83261      381.11026      429.96196      337.85849      415.50402      589.81305      746.87467      1013.85956     1124.30540     538.78941      405.38389      795.33742      881.83405      768.67538      638.42983      352.19602      574.06822      761.82045      746.59641      746.44189      449.05766      754.10274      803.62640      747.27380      774.10603      779.47905      
1961 09 30 405.74079      605.09421      718.97972      821.84090      802.25320      792.92706      792.08689      799.18507      866.80380      785.22415      562.84721      984.53854      986.98240      995.34703      709.01439      841.21600      845.52695      898.87134      976.78722      589.78879      649.59618      488.72420      523.19586      431.97900      515.12693      697.12842      875.74304      1131.59458     1244.47130     655.03922      499.33031      908.95601      998.56760      842.90232      729.73274      438.31983      668.79683      818.14250      815.34130      821.59285      499.66919      823.16966      876.16199      834.10149      854.37553      841.41466      
1962 09 30 289.01094      440.18727      584.76863      723.37437      691.75330      674.17218      689.52191      695.74020      765.89343      615.49021      367.43929      792.63386      700.31894      792.65668      623.04961      756.13290      766.68431      780.28804      843.77407      417.73365      479.50809      290.46727      329.95102      258.99405      337.27572      434.63794      643.51694      860.36683      1029.33140     441.14563      304.85179      731.62872      811.45127      725.92389      586.53664      268.88581      492.09798      702.21591      700.18378      703.63399      371.66909      710.32940      785.59566      758.31813      764.40740      735.04639      
1963 09 30 261.70819      410.71555      465.68091      575.01656      542.85009      529.01000      534.74157      523.67675      583.70474      525.79269      346.42743      676.20076      650.66177      640.39059      491.66732      558.15397      565.45838      606.33437      670.41588      339.29810      387.72325      254.63841      292.88184      216.65903      285.49688      426.21274      572.02360      784.42412      867.69902      390.98125      281.22624      610.00551      686.62852      560.73113      486.25038      243.21586      426.79013      545.23405      537.73801      550.96895      333.76079      554.20433      593.80361      564.00970      570.43481      570.11477      
1964 09 30 459.86947      642.11316      824.28595      944.59523      928.00045      909.95642      915.04116      926.88195      999.93351      839.58263      581.19195      1056.90182     1006.73708     1059.23994     797.50487      987.34695      983.36603      1019.74150     1091.35784     633.48029      704.18115      509.40820      555.96002      462.51032      559.89638      692.77698      919.90817      1167.53136     1336.06912     683.56475      512.19022      1000.18795     1070.62016     980.44250      805.88126      468.59894      700.83602      948.87838      940.18281      935.85351      564.91307      959.05515      1026.82455     970.61122      1005.21106     989.44528      
1965 09 30 436.66619      592.19676      688.61834      827.02165      766.59971      762.53246      757.66305      758.16242      822.44229      704.75400      515.21300      846.34871      846.80809      841.59891      658.52201      795.92566      795.21683      822.61360      878.53074      558.71211      608.65213      473.92956      505.58640      438.94871      511.36766      601.44564      758.93324      979.95242      1073.35497     586.10083      493.01255      796.69820      837.76130      801.08727      677.69283      441.70673      609.02443      787.13589      777.14294      775.94365      487.87505      796.55208      846.07543      799.18372      824.12584      796.16255      
