       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 50241.06336    54914.05587    28828.16257    214302.10974   201963.80139   106586.09473   416301.02225   1319798.42701  40575.26844    52312.74775    35111.01283    444511.39744   11078.73071    29613.55275    16301.02969    468.98299      6621.72297     4768.02810     307291.95846   18944.67355    427.22966      66280.35835    604602.90757   853236.35065   469006.20349   266257.62483   336016.65643   574930.51938   271463.35693   11805.78691    0.0000000e+00  38234.88661    0.0000000e+00  583490.18708   232689.59606   0.0000000e+00  110345.45935   0.0000000e+00  0.0000000e+00  199318.69547   0.0000000e+00  0.0000000e+00  205394.93937   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1957 09 30 25611.64320    39808.65545    26353.39972    203122.99738   193480.61137   100974.75949   363900.25638   1217778.29429  29307.13037    29810.86312    32415.86624    379660.26995   9396.23560     25930.87996    11456.19422    414.92882      5848.33983     4264.86726     168030.07911   15412.66118    348.23837      44804.09097    568743.63986   776726.21757   202692.50427   242940.40770   296819.35769   471311.07593   241752.41401   8166.91411     0.0000000e+00  30001.33811    0.0000000e+00  544008.79696   181914.30960   0.0000000e+00  79263.49566    0.0000000e+00  0.0000000e+00  181346.47511   0.0000000e+00  0.0000000e+00  185979.24892   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1958 09 30 40888.61657    56977.75791    34093.42481    251624.66024   240895.06379   127176.21700   489147.78102   1608700.66604  41707.76593    52747.82826    43564.72719    527820.54827   13227.73537    32132.87215    17893.76616    412.94226      5820.68174     5597.51202     288409.46798   22334.27506    513.27543      69157.05477    743149.49912   1017866.61677  301937.57426   320255.08590   404454.21047   620293.79574   247343.34941   12937.26092    0.0000000e+00  44644.24693    0.0000000e+00  718100.92090   273445.67575   0.0000000e+00  122964.00814   0.0000000e+00  0.0000000e+00  245821.11929   0.0000000e+00  0.0000000e+00  250459.73627   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1959 09 30 24330.64435    37794.48145    25101.40540    205122.34587   189377.59693   100430.62576   355342.29503   1179934.95819  28863.94424    31567.02989    31957.42148    373704.93746   9228.32817     25733.67137    10589.35777    426.26104      6011.39830     4145.90730     167749.85117   15023.64648    346.24050      42765.45211    554670.07011   770586.07586   186942.28472   233650.10092   289551.31365   457209.84687   246609.19171   7310.57117     0.0000000e+00  30725.48382    0.0000000e+00  535006.28119   188545.10561   0.0000000e+00  79307.66257    0.0000000e+00  0.0000000e+00  182639.98852   0.0000000e+00  0.0000000e+00  186258.47895   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1960 09 30 23967.98765    36163.63763    23824.96843    200071.58734   184684.47788   96440.81179    332815.30763   1146524.39025  27552.19812    30441.99625    31040.55066    353300.71192   8682.31314     24026.15506    9892.17007     399.95363      5637.78016     3928.95933     184357.19348   13451.94078    327.82240      39883.35740    528771.68395   744654.07404   177379.27042   220122.92883   268470.85672   437937.95952   232146.27682   6596.98116     0.0000000e+00  28253.29436    0.0000000e+00  510146.70143   173210.17946   0.0000000e+00  73293.55996    0.0000000e+00  0.0000000e+00  174290.75184   0.0000000e+00  0.0000000e+00  174141.75534   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1961 09 30 32159.14134    46536.75342    29854.77574    224107.86463   213636.24738   113133.42236   434935.82698   1412410.68223  35922.82021    43136.30754    37979.12289    461566.67705   11728.45262    29633.72473    14459.29330    430.25201      6066.11584     5042.78098     244562.94033   18344.91989    453.73029      56624.34744    667226.48091   910671.77074   242217.20982   281929.93427   357963.95762   555015.67061   252280.66902   10301.79497    0.0000000e+00  38741.93204    0.0000000e+00  641148.61011   232117.06292   0.0000000e+00  99744.69084    0.0000000e+00  0.0000000e+00  219725.06860   0.0000000e+00  0.0000000e+00  226009.38465   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1962 09 30 20138.62957    32375.55264    23684.82036    201120.73866   178809.73640   96049.74447    324944.14969   1138599.89583  24625.01867    25685.01697    30440.66222    344809.04309   8560.46480     23249.36898    8667.49166     388.57096      5479.07736     3920.50212     146828.23536   13032.44872    317.63316      34696.68200    522462.95227   731994.77676   151073.57497   219827.46932   264453.05968   421292.34534   225569.44535   5722.86835     0.0000000e+00  27083.91495    0.0000000e+00  502054.86104   165070.08418   0.0000000e+00  66523.56103    0.0000000e+00  0.0000000e+00  174097.13362   0.0000000e+00  0.0000000e+00  173904.48248   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1963 09 30 27496.11496    42439.37815    26451.33863    218642.15408   200382.63950   106029.93243   373220.57294   1258375.95813  31095.96283    34840.44913    33999.26923    399459.75311   9897.75868     26332.68375    12612.26141    406.61448      5730.22000     4380.42104     195833.05548   16220.48233    379.65944      49835.47476    582899.56543   806246.09636   215034.21608   245457.19887   304261.12041   483676.02692   237083.71717   8930.34435     0.0000000e+00  33073.75600    0.0000000e+00  566277.49315   202434.65217   0.0000000e+00  87816.47257    0.0000000e+00  0.0000000e+00  192383.25427   0.0000000e+00  0.0000000e+00  191583.78499   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1964 09 30 12015.14464    22948.93023    20658.95709    169199.28916   163691.84660   84237.49252    288736.69375   999294.08968   19490.47738    16458.69339    26305.58463    299674.25752   7412.58293     21875.77505    6865.02527     410.94210      5796.19804     3569.59551     90494.25337    10662.64740    265.29323      28342.04394    463954.39760   649114.66425   111977.82938   191774.19164   232886.25003   358954.39184   234479.22864   4639.62994     0.0000000e+00  21764.50646    0.0000000e+00  449975.26820   128287.58286   0.0000000e+00  49046.34935    0.0000000e+00  0.0000000e+00  152809.85748   0.0000000e+00  0.0000000e+00  150070.28775   0.0000000e+00  0.0000000e+00  0.0000000e+00  
1965 09 30 28506.12738    42910.02527    29990.19203    235341.71141   213292.78414   113699.99352   433366.67759   1437801.98965  33187.35584    38239.11531    37965.92317    461849.38574   11538.15268    28957.84742    12140.56946    390.20774      5496.97661     5141.23389     220494.61552   16845.82322    433.80778      47790.66091    657569.44570   885033.66510   203910.90655   285137.01870   360283.20737   538373.04733   231656.42739   8585.56931     0.0000000e+00  37035.82018    0.0000000e+00  635533.44074   216756.42813   0.0000000e+00  87445.09095    0.0000000e+00  0.0000000e+00  213199.65681   0.0000000e+00  0.0000000e+00  222051.05704   0.0000000e+00  0.0000000e+00  0.0000000e+00  
