       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 934.08964      796.05221      813.46086      888.47406      858.33545      844.23642      848.39828      894.37774      1007.68463     1067.80646     1181.20611     1022.58599     969.83652      1007.59383     1018.36214     948.60424      975.53460      988.76611      1016.62561     712.95958      771.96301      693.95215      747.10079      768.84791      649.44146      729.15224      877.51517      1077.58172     1166.24118     792.44453      654.56345      959.12864      990.78134      910.56611      860.18101      743.39807      784.37441      909.12414      862.19218      923.09239      1038.57688     910.62346      994.22318      1007.48427     963.62811      912.49839      
1957 09 30 565.04341      529.46965      587.43922      671.10700      641.06327      629.66964      633.76903      656.61621      759.80356      673.58574      623.81662      775.15850      720.65592      751.34249      705.90204      713.71409      729.71337      742.39225      771.73761      460.24731      539.17075      450.62373      514.74825      518.76473      414.64173      504.31864      649.03847      827.81066      925.96269      509.99099      436.52832      714.52661      758.86135      688.86161      614.97817      490.71902      522.28796      683.62969      649.10529      693.24823      520.04818      668.78363      751.95401      758.64117      726.49776      673.48480      
1958 09 30 459.80400      428.64809      471.77215      551.84570      533.78234      515.59098      512.74020      542.64011      633.75093      589.86602      512.64942      686.62015      616.44109      653.96483      625.28813      590.87627      610.83669      643.23599      671.79240      355.34734      432.43716      322.80856      402.66991      397.26682      315.05267      374.06087      557.33477      709.94649      809.90454      399.93378      310.53872      619.77954      674.67532      565.41013      518.83187      385.58427      431.45787      563.44954      530.18897      583.92919      415.13832      555.47672      631.54030      632.44512      589.22953      579.04293      
1959 09 30 855.87599      813.78658      862.04415      951.07420      931.61550      891.94651      906.87492      939.24708      1052.38311     980.93705      910.81763      1095.09110     1032.51286     1064.82872     1032.28292     990.53872      1017.07335     1046.54407     1077.75504     677.15027      766.02713      670.67296      757.50419      747.39296      620.30211      752.97377      920.20165      1195.25945     1321.49149     752.26877      675.01222      1012.32417     1070.04800     959.24434      893.86208      745.72758      788.64079      966.05594      927.13043      967.10154      801.20575      971.43743      1068.65365     1063.16901     1020.08233     1003.15508     
1960 09 30 684.07001      642.24331      687.82060      781.29317      746.18570      727.42924      728.14431      749.57292      850.35998      790.73735      718.01620      905.90879      826.25666      838.86444      844.44638      801.87512      820.08746      849.16470      880.65248      479.43495      566.43023      500.73989      588.70011      573.71689      428.21470      584.88765      733.99291      972.78281      1104.37785     565.50665      492.32666      821.37559      884.65728      786.61339      704.40464      572.44437      608.24520      801.86358      749.43642      797.35672      620.47914      776.53175      865.32033      858.32182      825.11566      797.60983      
1961 09 30 742.55152      701.54651      751.34137      825.44097      808.50830      795.07054      794.60857      835.93735      963.29822      906.63510      837.22036      1022.55856     960.45501      986.18335      949.83081      888.22636      927.05861      959.08718      997.39522      618.55636      708.00943      621.89629      702.40419      691.56495      570.73909      692.03326      859.68872      1091.67847     1202.23645     696.00089      604.42584      941.27669      998.11342      868.14538      807.15330      676.48419      710.08817      863.52677      823.80296      884.08096      692.83537      853.85483      956.85300      960.07646      908.95430      870.42496      
1962 09 30 596.86529      558.79250      616.59107      725.37060      696.19937      676.35601      691.20779      717.93356      835.64255      748.44816      682.42466      867.57513      779.86414      811.03288      796.31942      787.94113      817.40804      825.01039      863.84022      470.95959      534.57847      493.47960      557.54631      557.15512      420.93926      551.38109      675.66550      984.35311      1118.93780     541.35568      475.04150      777.41380      833.54447      744.09937      658.87485      539.82040      563.74510      736.98638      707.59892      754.17073      559.61129      734.17041      844.01385      842.44897      805.07210      753.85095      
1963 09 30 462.35116      427.10763      470.86484      571.69558      534.78021      520.61695      528.43688      537.21941      628.66257      577.99696      513.82357      675.97662      568.92558      614.09456      606.99100      582.65367      607.51732      633.91563      668.79718      310.30983      391.99728      305.45131      387.57390      387.83217      264.86916      360.63291      529.72155      693.28998      806.44669      378.66018      298.77360      606.15677      664.12719      569.62910      510.66198      389.41105      414.30073      566.93937      534.78722      586.33486      412.08573      563.00472      643.60347      634.27686      602.42830      578.00057      
1964 09 30 876.98733      839.83488      886.13251      957.24557      946.24191      924.89498      928.58415      980.46111      1124.46042     1029.81173     997.70414      1167.20212     1099.60146     1093.26209     1081.80673     1055.86172     1087.99467     1100.97942     1141.85891     723.26474      803.92194      768.40431      839.73355      839.60666      681.55492      844.05386      966.76629      1292.69265     1427.79189     826.19757      755.13698      1087.28366     1118.70621     1020.07572     931.47143      818.63908      833.41834      1015.71524     962.11644      1024.92223     832.36317      1010.27098     1135.75653     1134.06068     1087.71685     1035.11689     
1965 09 30 676.07750      628.31802      695.72360      815.48017      753.47277      747.24501      743.05662      766.64607      869.34397      748.50194      675.99252      876.72062      761.90044      809.60575      809.23505      815.46482      835.25939      849.46141      876.82735      527.65108      608.41222      514.99886      573.40438      587.80683      496.25330      558.15342      718.58112      881.87503      994.86490      556.27229      499.87273      796.53265      841.91853      803.64576      701.12395      556.68514      588.85708      803.94760      767.84340      806.68455      600.78364      797.89347      877.97446      868.92060      848.48929      792.76055      
