      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 204345.82047   32607.16337    11229.64627    867.29865      3558.44714     0.0000000e+00  0.0000000e+00  236177.52771   273205.85666   45836.16011    9814.00553     38992.85267    0.0000000e+00  0.0000000e+00  29236.56580    8501.74117     72318.92303    3454.79291     1710.48265     5877.33407     835.17315      246713.00215   211491.13907   623148.36545   1612.63462     5704.74082     0.0000000e+00  0.0000000e+00  0.0000000e+00  10169.21462    50153.48353    18580.21237    64.70121       67345.19202    208210.39453   393165.01341   62613.95486    107229.05036   19020.45276    75658.48519    1528228.27360  86783.37468    122651.80059   307894.63165   59812.51915    13551.10886    
1957 09 30 121943.01915   33598.71971    8660.47306     598.92885      2282.77982     0.0000000e+00  0.0000000e+00  122458.40627   196776.21021   19370.53492    6803.19856     32621.57810    0.0000000e+00  0.0000000e+00  48327.34342    6750.02567     84604.37452    3805.80282     1584.11204     5900.30304     689.05202      213879.72282   189006.48706   564152.26558   1894.03455     5903.56894     0.0000000e+00  0.0000000e+00  0.0000000e+00  8813.57531     40973.29714    20625.38785    43.98226       28003.60137    155276.98701   342497.64898   60245.15747    75385.09906    12821.36752    71255.50055    450071.88550   64344.81889    80071.21142    202540.70754   44797.72281    8449.15844     
1958 09 30 111331.66097   40042.03882    13011.23425    943.04933      3415.75737     0.0000000e+00  0.0000000e+00  175321.50838   237137.05860   21150.06150    5355.23013     36054.30835    0.0000000e+00  0.0000000e+00  55250.13668    9560.01423     93645.21438    4488.63356     1770.20625     6526.14783     802.60957      151793.68279   140822.93871   423948.59117   2072.58190     4470.68628     0.0000000e+00  0.0000000e+00  0.0000000e+00  6431.30297     26027.35309    22336.95772    54.93277       39571.86065    187425.86736   266956.92302   71700.18679    93159.16668    17730.47301    89647.40888    390022.18872   80479.49311    114107.84268   257784.44937   62849.09207    11106.42812    
1959 09 30 168568.47479   46000.66641    14255.15209    1210.22320     4215.36249     0.0000000e+00  0.0000000e+00  215376.93654   318182.05804   27277.52237    8316.69527     42917.64442    0.0000000e+00  0.0000000e+00  73946.55089    11883.83344    123053.71557   6447.98761     2497.52249     9375.43634     1236.17917     236772.63354   221421.57530   623555.46560   2897.38799     6205.28941     0.0000000e+00  0.0000000e+00  0.0000000e+00  10338.19007    46165.48688    31118.83367    74.07074       52060.53519    249207.22753   412116.54709   97582.75253    126772.34869   22976.89799    122103.10428   568751.55382   105798.73638   154396.89765   363200.38236   83422.24469    13994.14640    
1960 09 30 152403.46905   47264.52078    15445.60447    918.07323      3645.37941     0.0000000e+00  0.0000000e+00  181225.71067   241093.56327   25645.48672    7703.01702     39715.55625    0.0000000e+00  0.0000000e+00  64898.19975    10443.74178    110437.83962   4432.10857     1882.10928     8096.21002     1058.04826     220877.63627   206890.39374   571802.97387   2492.33132     6283.71441     0.0000000e+00  0.0000000e+00  0.0000000e+00  9328.01484     40494.64961    22115.10413    56.05179       43298.72310    237786.41129   385391.47263   101212.85773   107031.18229   17226.49319    91389.22886    564000.44613   81630.53859    108503.76607   303362.09516   70003.03444    11173.09905    
1961 09 30 161440.17289   48595.76208    15587.08883    1108.54512     4331.08985     0.0000000e+00  0.0000000e+00  223235.86282   286888.05846   27391.13981    8123.60415     36656.72485    0.0000000e+00  0.0000000e+00  70405.63062    10663.20649    126293.07668   5302.54376     2082.09736     11765.84828    1427.13722     245104.15237   227131.75246   621454.30354   3419.12717     6270.79041     0.0000000e+00  0.0000000e+00  0.0000000e+00  10220.42757    49642.67171    26059.49292    59.76906       50433.30247    261502.30678   425100.84731   104442.80189   111044.12599   20758.32466    105269.20354   625466.96448   96603.04644    135573.79979   323120.38714   70015.43362    14159.99503    
1962 09 30 132679.49546   38175.63871    11753.01177    844.85241      3214.73582     0.0000000e+00  0.0000000e+00  132867.43389   210814.87579   22046.51125    6637.43000     36153.63931    0.0000000e+00  0.0000000e+00  46101.74780    7414.75409     75212.48845    3796.85113     1556.95573     6415.95713     775.49252      195121.39404   178441.31279   531377.67477   1952.40158     5529.14737     0.0000000e+00  0.0000000e+00  0.0000000e+00  8330.38579     34065.55876    16950.69100    48.03648       36393.01625    165502.56296   335438.82502   63243.83680    84338.04752    17294.81215    83854.48873    461924.78599   69561.54547    98601.74139    220853.67858   52560.15340    9612.62400     
1963 09 30 111309.50879   30247.95433    8798.09554     843.31141      3026.89370     0.0000000e+00  0.0000000e+00  147015.19024   175457.62144   20517.31924    6584.74761     32485.93532    0.0000000e+00  0.0000000e+00  43110.62169    7913.54407     80720.47822    3648.76582     1684.70597     5428.06295     790.93946      183544.58797   182592.71163   502561.80121   1708.50369     5560.24462     0.0000000e+00  0.0000000e+00  0.0000000e+00  8168.03885     34526.06086    19943.39283    51.73209       33333.27048    165975.14462   340748.02664   70342.15609    73541.50242    14312.71487    74890.21844    381292.20173   64677.51059    96598.11533    214567.55781   50389.34788    10375.32879    
1964 09 30 171332.61391   56958.20284    19600.09918    1305.81815     4899.55011     0.0000000e+00  0.0000000e+00  256012.54814   324181.73370   28360.48031    7811.69340     40730.46941    0.0000000e+00  0.0000000e+00  70997.75682    13225.71247    142509.06688   5717.82687     2364.07674     10156.80620    1350.18748     237678.08022   205937.09433   624740.75453   2635.81414     6138.61049     0.0000000e+00  0.0000000e+00  0.0000000e+00  9684.33107     47464.80592    26645.29397    61.16370       60821.03978    284667.06843   397263.10662   115192.72235   138687.87547   25907.00772    131208.98695   593854.40246   120941.15896   166599.14417   383168.47227   94313.09790    16554.55918    
1965 09 30 130840.74879   38686.49166    11099.66995    773.00693      2729.42825     0.0000000e+00  0.0000000e+00  152153.16061   201295.41487   20048.72174    6709.86990     33078.36214    0.0000000e+00  0.0000000e+00  54649.02391    8365.16113     87903.79867    4217.05271     1744.81057     6047.06918     822.19408      188741.70942   162251.01839   505756.42352   2167.52636     5416.64926     0.0000000e+00  0.0000000e+00  0.0000000e+00  7218.87589     34643.34161    19604.14201    48.94320       34476.23889    157863.97847   312960.74909   69450.67077    77803.57891    14280.36868    76735.07566    503337.96385   58209.63457    79866.30200    233416.18138   50857.36005    7830.98879     
