      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 91880.57242    46416.26537    9537.62737     882.08784      3392.56258     0.0000000e+00  0.0000000e+00  275584.77497   313146.72016   7063.49360     6662.82583     51115.69266    0.0000000e+00  0.0000000e+00  37797.02259    9720.25810     99862.02621    4485.63544     2020.33810     8084.13768     1031.17072     171476.12433   139609.24720   446016.33985   933.17338      1318.84543     0.0000000e+00  0.0000000e+00  0.0000000e+00  7192.93543     15390.16378    26518.52662    91.23307       75219.87737    249190.95413   243550.83369   76380.27955    113251.72732   22333.28841    92884.68875    220824.23704   104692.63109   139797.94621   353121.80432   72998.58015    15169.09193    
1957 09 30 51187.07490    39558.87287    7038.68338     541.68869      1872.02574     0.0000000e+00  0.0000000e+00  116919.94739   199402.39366   7831.77510     3661.09232     41924.06117    0.0000000e+00  0.0000000e+00  43064.01725    6545.13682     74930.98098    3254.30405     1599.28768     4287.23668     591.11749      115341.31834   90883.64024    310338.22711   784.35089      960.95481      0.0000000e+00  0.0000000e+00  0.0000000e+00  4103.71674     11950.05331    17963.97358    61.62898       27127.75268    121475.49631   146416.34449   44529.55397    71554.30512    11928.02567    68942.67192    251732.70699   55025.61792    82273.25447    206713.85348   41184.51445    6322.67587     
1958 09 30 64625.56139    41264.88478    10582.96912    869.89364      3028.80938     0.0000000e+00  0.0000000e+00  168473.21302   213533.57969   9785.26559     3372.88494     46535.27985    0.0000000e+00  0.0000000e+00  51553.90388    9367.21113     89712.98222    4136.18517     1779.22106     4969.64000     632.18523      100390.31854   86021.38394    281782.84512   1029.74605     975.86715      0.0000000e+00  0.0000000e+00  0.0000000e+00  3814.09989     11628.83501    23610.68005    81.63854       38676.33223    169318.53176   153476.68470   54057.47817    90766.44747    17428.54752    87261.36411    307121.16316   72526.22767    113410.04298   241904.41846   66064.19488    10404.48303    
1959 09 30 79188.62332    49841.66164    11130.90124    1057.75769     3893.33388     0.0000000e+00  0.0000000e+00  208161.93940   306879.54898   12453.13741    4621.21937     57264.10294    0.0000000e+00  0.0000000e+00  67420.07155    11279.92309    117235.00435   5916.48010     2618.81157     7131.23622     931.49228      134930.00023   126156.22500   380931.91150   1684.35449     1212.78970     0.0000000e+00  0.0000000e+00  0.0000000e+00  5743.71634     16226.61546    30197.33832    106.46860      50953.93560    222402.64216   205524.78794   81199.88142    119445.21734   22810.33600    117022.15164   365555.98234   92151.33166    152348.11496   361089.83872   77945.98575    12357.46168    
1960 09 30 75383.37768    46241.34761    12260.46274    900.56952      3266.09139     0.0000000e+00  0.0000000e+00  179321.39060   249144.11414   8829.71547     4230.23158     51778.67906    0.0000000e+00  0.0000000e+00  58634.01133    10401.00575    107226.25473   4265.30023     2093.89395     5365.33797     688.26033      133939.44013   118626.41532   356536.27548   1313.95725     1177.96913     0.0000000e+00  0.0000000e+00  0.0000000e+00  5086.79869     17721.72674    21549.54345    84.13537       42922.61453    175182.87228   199499.53785   62206.91560    105604.56008   17220.73611    91077.63784    365339.58914   76752.27339    111677.47737   278309.87507   69805.93413    9472.33963     
1961 09 30 83676.05866    51897.70958    12734.84953    898.64577      3678.54737     0.0000000e+00  0.0000000e+00  204096.49453   253465.98672   11546.96555    5158.67829     50275.97739    0.0000000e+00  0.0000000e+00  58647.46541    10413.04353    114642.06567   4913.37819     2270.85319     8985.77211     1071.55349     156783.21170   137281.61367   413310.89207   2131.13931     1389.49767     0.0000000e+00  0.0000000e+00  0.0000000e+00  6104.55413     21541.74333    25801.61364    89.53072       47833.05259    210789.51691   237112.40811   75151.01720    107828.95379   20317.97600    100350.65347   409382.31706   90431.36390    129650.16055   275755.01094   69947.55113    12428.63207    
1962 09 30 59242.68776    38870.70605    8916.16201     705.81323      3061.19729     0.0000000e+00  0.0000000e+00  132559.83623   199845.15455   8016.65061     3428.44686     42721.37223    0.0000000e+00  0.0000000e+00  41395.27819    7433.04348     69697.89511    3277.22798     1610.09406     4672.33529     496.70991      116980.44116   92109.65178    329620.64715   1044.89835     1122.76573     0.0000000e+00  0.0000000e+00  0.0000000e+00  4391.04104     11761.41453    16554.45298    70.24488       35317.75674    133157.72768   162144.17033   46035.41296    78576.42163    16370.59518    76852.39796    320264.20625   61515.42719    91625.44422    206686.29681   48645.93002    8039.78401     
1963 09 30 50987.02483    33408.89302    8260.00043     751.14818      2636.09843     0.0000000e+00  0.0000000e+00  139595.01815   176726.76663   7325.31690     3448.28921     41738.87775    0.0000000e+00  0.0000000e+00  43142.88611    7458.88312     78769.40287    3452.06707     1770.76649     4378.90467     621.91662      101631.98447   96219.82400    287716.42677   825.72224      936.38058      0.0000000e+00  0.0000000e+00  0.0000000e+00  4230.33719     13113.71366    21656.94663    74.42763       33516.33081    149111.51351   166025.95705   47317.29110    71392.23853    14151.45009    71852.01731    244976.81720   66054.90762    89084.59489    212870.50388   50127.99974    8408.93508     
1964 09 30 86333.53410    57222.82184    14602.73239    1220.71494     4346.21631     0.0000000e+00  0.0000000e+00  245805.78556   311340.56464   11919.14105    5311.94335     57019.94915    0.0000000e+00  0.0000000e+00  63601.67965    13178.59699    135007.45400   5515.08232     2446.30769     6852.47114     902.64430      154361.31081   135064.10644   424614.08520   1686.46779     1272.66123     0.0000000e+00  0.0000000e+00  0.0000000e+00  6118.22013     16908.42990    29074.95836    95.24779       58612.64159    244078.13485   237824.48547   81564.34471    131265.40164   25119.51836    125542.65736   426170.36482   114275.39041   168580.51431   363766.78965   90887.35128    14544.35048    
1965 09 30 58612.53533    40635.24652    10159.94967    735.68028      2483.87959     0.0000000e+00  0.0000000e+00  140463.30065   191909.88061   8141.88794     4144.48814     45300.95427    0.0000000e+00  0.0000000e+00  47641.90608    8051.70893     83772.71574    3751.53158     1674.37795     4916.85013     672.66826      117382.06927   91529.50149    318404.77620   1082.05674     1038.06719     0.0000000e+00  0.0000000e+00  0.0000000e+00  3930.11808     12739.54887    18869.20907    72.02016       32178.62680    152692.17108   161241.32343   55165.00291    73645.96825    13551.35818    71884.08394    295995.92612   53707.01689    79578.89740    216504.53857   46544.27289    7181.77860     
