      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 529.73399      528.53522      499.86253      645.30695      458.76857      568.65021      658.44633      607.06005      631.65015      580.80760      608.11047      426.81949      540.25133      413.83919      570.95170      726.64754      602.04435      424.60767      448.99614      740.76121      593.79039      642.75903      537.98152      615.42782      628.17631      588.24070      410.99762      492.04171      415.74884      687.02982      571.53619      481.89397      337.00593      679.64996      551.55438      528.56676      592.37511      629.55228      623.37189      600.26385      604.20178      507.98912      584.53711      629.87093      629.29794      386.53820      
1957 09 30 534.63099      535.38875      526.78069      660.75623      483.48168      587.67953      673.39145      630.15156      640.79959      587.22840      613.93409      436.91968      567.69148      464.81058      575.27551      737.49462      617.25491      462.78268      470.41447      769.44430      629.09814      673.28868      565.09695      637.88544      669.54521      619.90490      442.19857      502.47318      414.46993      703.09421      600.24324      501.00559      370.64054      688.24961      564.00040      550.54902      609.23662      637.48515      636.65671      609.45949      610.40628      530.84042      592.31199      636.23979      638.99947      422.46348      
1958 09 30 589.11247      554.81844      541.91915      722.28918      485.10687      619.95347      731.63878      684.92013      730.63697      651.66748      685.59522      433.25873      521.56294      404.10239      655.27572      846.83459      688.64970      451.77193      485.24309      785.24620      610.35407      671.68595      536.75045      657.28036      609.94941      613.13537      375.01476      475.12991      389.29021      753.17057      565.49338      501.56686      308.07692      785.93537      598.03203      542.27651      625.90590      712.01630      705.35314      685.45153      666.39954      562.36261      677.16756      729.86450      734.64816      400.67872      
1959 09 30 556.59223      573.67398      569.01184      706.55928      521.35419      633.93337      720.73484      667.46981      668.91661      616.48096      643.71320      459.79297      632.88415      518.84780      599.17835      775.23975      645.25560      480.77615      488.68223      866.30855      722.12843      751.38355      623.87496      697.40778      784.63991      689.04452      496.59638      536.74858      428.98478      759.57512      670.98222      538.67763      392.02276      724.73024      596.85681      590.80429      657.18467      671.63992      677.63234      644.80892      640.67402      554.17983      616.17395      662.45481      659.47091      436.18762      
1960 09 30 532.17470      547.37095      546.12548      673.26010      498.68261      605.38960      687.26516      641.36562      641.16330      593.90984      623.97319      443.93929      627.37330      519.71961      576.03025      739.95135      620.22297      469.39557      471.92355      848.73382      717.45492      734.80249      609.76896      675.76166      780.77020      673.96329      492.48373      525.86680      416.49997      736.31428      659.11121      521.18937      383.37920      691.91916      573.49502      567.43603      634.49041      639.22782      644.26941      615.57734      611.26849      530.38779      585.34369      632.73123      631.51091      416.46881      
1961 09 30 566.83568      558.54773      555.87015      714.32718      506.15102      626.67891      725.86890      673.86588      693.73587      622.61294      654.33902      432.57022      561.40935      450.10128      620.67939      807.22907      661.38530      463.24319      480.98667      828.77907      667.47697      705.57720      571.33410      668.77956      705.96517      638.50243      426.21180      489.88274      396.58879      749.71775      614.33714      508.39351      334.45448      753.95196      593.12424      559.49046      635.70874      691.85659      689.63415      662.74958      646.46547      556.68405      643.58523      691.41188      693.44299      419.42165      
1962 09 30 553.72956      571.43442      578.22061      699.04294      532.94280      636.90356      718.52668      672.46741      661.00918      611.77528      636.41474      471.44584      650.89533      551.23179      593.99072      760.33971      643.76463      499.88241      498.76245      857.67418      750.59288      742.96881      635.82284      689.32510      784.39345      689.81782      538.36007      546.69436      441.25870      749.65071      680.51720      551.05449      420.72004      715.67208      607.21430      598.39410      663.21499      664.73773      672.90459      640.74111      630.77401      562.08721      604.08358      652.78005      652.12360      453.17463      
1963 09 30 562.48390      564.84779      561.22219      707.24737      514.60373      629.37991      723.23429      679.05055      693.61335      630.90958      662.84607      456.46159      609.63760      497.65092      619.77753      800.95085      667.90300      487.35348      495.76036      841.63594      697.11575      733.77504      606.17996      692.53914      734.31880      672.41683      467.99737      528.97863      427.95215      763.29105      650.73559      532.18482      374.51899      742.27072      602.20891      583.49129      654.79523      680.37954      679.05502      655.19443      646.22355      562.81333      633.08991      687.30405      689.44538      440.01394      
1964 09 30 567.74394      604.15057      633.37091      748.19147      596.59583      690.36208      764.62659      719.08176      682.53655      632.35746      650.82075      513.18206      717.63462      641.25279      608.31011      784.37707      676.43087      562.36073      544.05916      933.29170      823.89682      813.28674      697.36309      741.72382      882.15966      757.91466      608.50945      591.53064      473.68098      795.20596      751.93744      596.98415      494.58229      740.82105      639.26134      648.27651      707.63616      693.95217      706.77656      670.92050      650.05225      605.21031      617.59353      669.69508      668.22778      511.06548      
1965 09 30 567.09871      567.41542      562.23383      696.69890      505.48847      621.59633      713.74300      668.83793      692.58348      628.33623      660.66351      446.70276      594.47367      477.76131      617.33515      786.31706      662.35825      476.97309      493.39611      792.34916      656.42548      690.37527      593.37671      660.76027      669.37446      646.70760      455.60970      518.86073      420.99773      739.73938      619.84023      524.24512      365.98823      737.61607      596.36241      572.27218      643.48322      677.88240      676.88351      652.52013      645.65214      557.13442      633.65524      686.33488      684.14690      425.38671      
