       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 854.59577      798.61088      811.73811      874.63778      852.70396      835.78140      843.43803      889.24035      1005.38048     995.18906      1022.84592     1023.42964     970.24872      1007.47624     1020.59508     952.44517      974.07728      986.33964      1015.17911     713.30807      771.98044      688.66924      751.73502      752.72715      649.42976      730.72108      877.52379      1078.88829     1166.76184     804.27412      656.27416      960.22473      990.80237      908.16588      862.00517      744.90710      787.02297      907.79147      858.90767      919.19780      820.53153      906.25839      988.19552      1004.26585     955.66439      909.40717      
1957 09 30 566.19261      530.97043      587.26995      664.70206      638.79817      625.73522      630.13633      654.61998      759.45747      673.93793      631.81437      775.50481      720.65779      751.31350      706.30764      720.72857      728.32310      741.06776      772.87155      460.24731      539.58094      444.83848      520.72572      499.92367      414.64173      508.32599      649.03848      828.72517      926.43863      519.63684      441.49458      716.53235      758.99315      688.58414      615.05743      493.62354      522.28849      683.51944      649.86726      694.78181      518.34507      667.23060      753.78910      757.63187      723.76713      672.06493      
1958 09 30 461.23324      429.67590      472.02125      556.55384      530.21812      508.64870      510.97465      542.18536      634.36722      590.21873      523.59621      686.89065      616.45107      653.97580      624.97092      588.04007      611.25707      642.29651      671.51702      355.62413      432.76361      313.45505      408.20502      376.40977      315.05269      377.33817      557.33477      711.03494      810.18515      408.70140      314.80085      620.34859      674.70226      567.33397      518.83140      388.77945      431.46774      565.08811      528.97041      584.26446      413.62424      555.14006      629.97293      633.04445      591.90554      576.94920      
1959 09 30 860.11735      815.30808      862.19891      947.28337      928.05381      892.09585      905.35176      938.95930      1054.10399     983.39756      926.93530      1095.40875     1032.57411     1064.80399     1033.47240     997.52348      1018.65740     1047.62421     1079.83778     677.59332      766.52394      667.78693      771.56697      732.15252      620.30210      758.77454      920.20168      1197.04491     1321.94878     771.43338      682.65857      1013.28386     1070.03783     959.84923      893.91604      752.34059      788.76815      968.49019      929.01821      967.00527      799.30199      970.48574      1063.93635     1063.82952     1018.29690     1002.21448     
1960 09 30 687.49301      643.10183      692.47723      764.60783      741.44607      714.92718      718.59929      750.60133      862.37012      792.36330      730.54960      906.32717      826.28510      839.41759      845.44309      808.78189      829.11074      853.07808      887.92019      479.86937      567.51994      490.64357      598.67597      549.54096      428.21471      590.06434      733.99291      974.29366      1104.64383     580.80295      499.55901      824.00829      885.03323      790.58939      706.13042      580.00593      608.24461      806.63287      746.90153      799.86632      619.62485      783.10156      874.84717      870.50936      835.25339      800.34887      
1961 09 30 743.67779      702.93729      751.79111      828.53097      807.49854      789.07366      791.50941      836.40587      963.25019      907.33273      846.45986      1022.74943     960.45465      986.24789      950.75844      896.11225      927.83607      958.98306      998.23142      618.59644      708.46958      611.17087      706.22066      668.24610      570.73912      694.25119      859.68872      1092.83308     1202.50209     702.46909      606.95684      942.09096      998.11715      867.55568      807.15340      677.60411      710.08821      862.47468      823.44637      884.00047      691.37360      853.70150      954.77258      959.70316      908.47497      869.61479      
1962 09 30 600.17645      560.30626      617.79835      716.04047      693.11557      664.03500      685.79455      711.67074      840.87641      751.58855      690.66936      867.81615      779.92656      811.18588      797.27234      786.19056      820.14427      825.64126      867.07326      471.31546      535.29102      485.27990      563.47907      535.00872      420.93926      556.26738      675.66550      985.86931      1119.12401     552.65977      479.68573      778.92919      833.58936      742.67259      658.87891      543.24865      563.74597      738.82520      700.91101      746.12753      558.63522      733.83818      841.81697      848.14887      804.54603      752.58823      
1963 09 30 464.13525      428.27543      473.88815      577.56143      535.70222      517.31391      533.75090      541.55777      634.59578      579.37408      522.68930      676.26287      568.92522      614.35464      607.86993      607.18056      615.19525      637.57614      671.00312      310.67857      392.54501      296.64785      391.57257      368.03837      264.86917      363.55383      529.72155      694.91678      806.84518      384.80664      300.43974      607.09611      664.12744      576.62781      510.66198      392.01566      414.30073      575.23293      541.98031      591.04967      410.72592      566.72093      649.23974      640.84109      608.25729      579.41887      
1964 09 30 879.80339      842.02387      891.78243      987.29515      953.24219      935.07029      944.57421      991.13924      1134.82099     1031.01385     998.00719      1167.78964     1099.60175     1093.79263     1083.51667     1082.31035     1097.50153     1104.98057     1147.27403     723.78499      806.12544      758.58493      842.41285      816.86017      681.55493      845.42023      966.76629      1293.97821     1427.91616     832.10134      756.94607      1090.65083     1118.97850     1030.54845     933.44206      819.99927      833.41837      1026.61213     974.89364      1033.29416     830.58484      1017.31703     1146.34135     1143.70169     1100.53454     1037.33905     
1965 09 30 682.67069      629.95195      693.95337      802.42738      752.41936      734.90092      740.25626      761.65952      869.40634      751.03611      699.00531      876.89194      762.14340      809.69477      810.13538      819.46762      833.05800      847.05119      875.78903      527.97337      609.89059      516.93654      578.30144      572.23281      496.25336      563.02110      718.58644      884.18722      995.24689      567.23955      506.59718      798.09525      841.87630      800.14667      701.90968      559.64498      589.25283      801.55566      759.32530      802.27187      599.92129      793.54313      872.93680      867.00858      846.38467      790.31017      
1966 09 30 600.48060      560.70688      617.72110      723.26290      686.27466      667.52260      675.17292      700.48953      817.91499      738.74898      684.74659      839.18844      754.57055      790.66927      773.57064      764.20441      798.06116      812.68254      843.24701      460.33242      536.05762      476.82426      551.27920      534.96479      414.88791      543.91192      684.49241      899.26938      1006.86817     545.27488      461.87343      770.40170      817.07770      740.75623      653.88968      533.42373      557.52269      733.14153      703.18418      750.10515      541.96693      718.26610      819.66080      820.45972      786.69288      727.51311      
1967 09 30 761.50679      731.92956      781.08381      880.81541      843.56879      822.25511      822.44453      855.23984      986.58188      941.30028      891.84372      1063.50723     1025.61132     1057.87086     969.96865      912.37650      953.43620      998.10088      1032.44629     673.71336      763.21575      664.36304      747.09531      710.72997      633.21744      747.70909      915.28294      1152.95867     1260.65212     741.91994      641.53011      985.66356      1046.47976     887.34758      823.84205      701.18134      736.38014      879.00373      845.31297      904.82263      711.84204      864.28932      956.81611      975.20971      917.26957      877.02737      
1968 09 30 835.61871      792.06330      854.61989      947.92235      922.48490      898.32111      901.55187      958.33043      1125.63990     1059.75963     1006.23045     1224.43377     1195.15981     1206.48190     1101.45699     1043.86646     1086.48852     1131.21775     1169.82646     735.83196      826.51306      764.33360      842.32041      807.46414      692.48708      866.87102      1000.53001     1338.03646     1483.08846     832.40746      736.99174      1139.82904     1205.04162     989.51893      915.02706      795.50777      817.87705      972.25304      928.72924      1001.95445     774.40570      966.93703      1073.47928     1111.89992     1040.94847     986.54438      
1969 09 30 667.38466      621.01744      661.89411      740.95634      720.56778      691.93762      687.70534      724.96714      845.81464      809.06717      751.33316      930.46107      855.30481      895.66582      848.35701      776.08191      815.25102      861.30086      896.19857      508.65862      605.73547      501.57979      599.31536      554.13026      457.39334      600.39130      766.61419      997.09793      1118.16347     604.90703      494.09508      844.70202      913.33670      750.84236      702.50396      570.16225      604.70343      748.80506      718.79984      770.04942      595.96906      745.18413      825.64830      832.92985      789.58167      767.06861      
1970 09 30 465.97800      428.47265      497.63236      604.10727      541.74279      520.56414      531.63575      552.04244      651.52955      556.94922      488.80178      653.97404      551.63979      587.06956      598.93146      611.64106      625.37900      633.07092      663.08866      292.36487      370.92245      281.92883      375.48144      351.62427      240.37564      346.52000      501.89565      667.86008      777.61929      369.01427      292.75386      592.51088      632.06171      587.72266      504.18479      369.93534      402.79824      590.15832      548.62419      590.52464      404.56028      576.93515      663.51826      662.01141      628.75566      587.19740      
1971 09 30 717.54894      678.89006      724.84721      816.88396      782.34586      767.54792      765.43356      792.32284      926.24506      847.49430      791.62667      973.13774      921.27050      949.85447      903.74545      861.15423      887.60389      916.98218      950.15078      573.18602      656.33268      573.92459      648.13812      636.71550      529.38047      657.42219      797.24484      1084.90907     1209.17440     646.56494      560.38541      889.62301      943.88602      832.38886      739.16120      615.96286      645.07361      828.32519      794.18311      829.61584      649.25097      825.85416      911.05761      923.89632      878.63736      849.36531      
1972 09 30 1016.36578     956.31037      1031.72786     1110.79169     1097.39334     1065.54229     1073.71809     1149.77294     1330.20869     1262.99503     1211.73690     1415.81592     1436.73089     1435.57118     1319.69789     1214.78600     1271.45592     1318.88509     1354.14699     917.85131      1024.22769     932.05804      1017.51469     947.91338      871.11565      1034.65782     1215.01032     1665.65468     1810.13061     1027.03633     908.21953      1300.13558     1367.84246     1161.49754     1079.76429     936.19925      986.13001      1159.32362     1085.59339     1157.41551     968.88448      1167.59557     1287.73823     1321.82521     1235.22164     1202.66556     
1973 09 30 439.76251      408.42852      475.31359      563.66873      524.76371      514.56494      520.88502      559.01167      640.08783      539.22668      472.23359      619.10302      531.72849      586.23999      589.19781      606.86695      615.64068      618.35767      641.12321      347.20769      416.42628      310.84075      375.73488      372.56251      300.06966      349.06012      500.59333      623.40994      723.11910      382.29639      302.60812      572.88408      604.91161      578.49019      497.28372      365.29470      407.25534      576.59970      535.85151      579.68500      394.36100      569.60862      661.05272      652.55062      626.70150      576.86291      
