      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1966 09 30 131909.29055   32477.39861    7301.44346     449.13092      1807.36342     0.0000000e+00  0.0000000e+00  137397.05959   188840.59647   21434.37157    6577.45925     31726.80265    0.0000000e+00  0.0000000e+00  44483.56908    8198.79198     93232.51547    3894.54682     1740.95474     5887.93710     796.61577      187038.79652   185135.62376   532368.28642   1965.04749     5138.79710     0.0000000e+00  0.0000000e+00  0.0000000e+00  8356.29227     35050.52816    16395.59881    54.55587       37151.22004    185082.85029   343120.00038   63658.30136    82175.67216    14291.54024    85071.91533    471227.70116   67392.14755    99072.50114    259235.62759   55904.32672    7159.28854     
1967 09 30 159122.52369   49112.88095    14219.73667    895.86658      3204.19322     0.0000000e+00  0.0000000e+00  204568.21565   250669.43593   26368.39132    8409.67073     31313.00518    0.0000000e+00  0.0000000e+00  55940.89045    10945.64355    118320.26164   5259.11213     2081.31931     9673.34034     1166.31576     225371.54174   219280.60529   613504.04456   3534.44700     5777.74788     0.0000000e+00  0.0000000e+00  0.0000000e+00  9880.29993     48805.54155    19993.28211    50.80684       52326.47140    249748.52199   421821.86355   94101.79362    107084.86947   21163.73246    112642.76594   650530.11098   77916.66890    133755.24247   285921.43274   80082.93347    10910.88388    
1968 09 30 151486.56321   34539.59433    8819.93127     609.12751      2391.05932     0.0000000e+00  0.0000000e+00  160163.58738   226254.56322   24042.22133    8161.86039     29455.46409    0.0000000e+00  0.0000000e+00  51402.69133    9761.80039     106051.64773   4027.75980     1777.15871     5794.18998     735.95465      244267.44944   216862.46851   645198.89327   2291.84076     6078.82091     0.0000000e+00  0.0000000e+00  0.0000000e+00  10143.24833    45268.26545    14272.73093    44.38655       41787.65672    189234.93577   405378.27404   68535.63577    84377.23632    16120.77150    88376.70108    522207.14302   65574.06670    116675.91328   252754.53497   63041.96780    8079.95838     
1969 09 30 140520.84461   37580.19635    8619.84451     556.90360      2717.34104     0.0000000e+00  0.0000000e+00  165377.31171   234087.56467   23407.96761    7646.96927     27629.66188    0.0000000e+00  0.0000000e+00  55227.48451    9256.05059     96399.50682    4724.07702     1872.27854     6450.74144     949.01285      203636.59385   207114.07916   548041.52823   1810.55036     5840.68993     0.0000000e+00  0.0000000e+00  0.0000000e+00  9487.70609     39803.95703    16941.62376    51.49079       39390.43185    186811.07324   379075.59250   69720.35322    85100.24896    18433.35805    85558.03661    494936.40297   72958.80969    103276.89463   266507.86107   65017.27013    8443.31855     
1970 09 30 116999.16967   30526.14432    7268.68614     583.32004      2102.04928     0.0000000e+00  0.0000000e+00  154900.81873   207767.59070   20767.18352    6185.13660     27849.15830    0.0000000e+00  0.0000000e+00  40416.73432    8641.94691     92282.20612    3903.03302     1796.14781     6064.71578     713.95258      171851.67840   170185.83924   502058.95409   1899.55434     5103.25279     0.0000000e+00  0.0000000e+00  0.0000000e+00  7900.68666     35355.74616    16211.22587    55.51289       36513.56226    175116.20471   320874.33048   72979.16277    72640.05186    14478.83131    82534.82489    420150.44832   65217.91399    99408.75939    244150.85677   58039.07130    6208.58065     
1971 09 30 144738.18597   39156.09941    10455.86768    864.63901      2827.07413     0.0000000e+00  0.0000000e+00  172811.42680   212275.44283   23530.69598    7085.79622     29360.28538    0.0000000e+00  0.0000000e+00  53135.95536    10154.47449    111297.38082   4475.16686     1896.82150     7624.71690     947.34347      208364.36819   194258.23938   558872.22406   2669.38095     5378.27532     0.0000000e+00  0.0000000e+00  0.0000000e+00  9007.92107     42515.74491    15351.44921    48.51379       43930.79200    187542.19912   358855.41431   77545.90565    96188.62360    17878.26360    97269.75356    570553.09220   64647.25161    115378.37521   282082.48907   68420.40691    8562.41292     
1972 09 30 199790.64167   44691.06872    13558.85481    991.17228      3345.67318     0.0000000e+00  0.0000000e+00  200642.97710   256615.11582   31707.74521    9665.12707     36996.08563    0.0000000e+00  0.0000000e+00  58695.23449    11014.83157    125912.75247   5390.28924     2155.89881     10846.00939    1296.94788     274306.27543   251691.65795   706342.13659   3660.80001     6615.53378     0.0000000e+00  0.0000000e+00  0.0000000e+00  12042.69850    58594.92877    21261.78595    56.34498       50665.34967    237737.40603   480600.78238   105990.18882   107619.86849   21000.72527    107272.78725   696391.25169   84925.16924    129398.50778   313245.07694   79012.23185    10943.01924    
1973 09 30 87906.78725    23913.49466    6167.81581     492.52416      1843.35973     0.0000000e+00  0.0000000e+00  124096.36379   150077.29412   15659.80537    5186.65241     23791.28366    0.0000000e+00  0.0000000e+00  35385.42632    6434.54282     64840.11735    2673.01352     1192.38307     4418.50306     625.23251      160988.70540   137769.96858   442919.04228   1501.53204     4780.72417     0.0000000e+00  0.0000000e+00  0.0000000e+00  6023.85461     24787.71211    11046.67590    38.04184       27641.31591    123905.43209   249121.59407   53598.18099    59716.22388    12216.92576    57107.28989    353262.01066   50406.91640    87121.55689    175213.47208   47197.80690    6369.21196     
1974 09 30 172312.30617   51895.28138    14611.10747    1102.94524     3901.62827     0.0000000e+00  0.0000000e+00  241884.18814   300617.27531   28402.98206    8156.18600     36119.04016    0.0000000e+00  0.0000000e+00  74669.64535    13107.53157    138333.60375   5969.51406     2336.63084     10045.59810    1198.97365     224350.56094   207675.52973   604041.30918   2934.27150     5787.62025     0.0000000e+00  0.0000000e+00  0.0000000e+00  9650.92698     44472.03478    22106.31238    57.93513       60887.37763    291206.61420   412398.69391   105978.52395   121690.90862   24226.34454    127365.72036   620045.28293   102691.94822   154046.81678   352334.17634   95615.00544    11750.26221    
1975 09 30 128421.50560   40447.61470    11100.37347    803.24951      2806.37656     0.0000000e+00  0.0000000e+00  173218.39877   238163.62308   21835.59391    6004.72745     30633.30673    0.0000000e+00  0.0000000e+00  58090.68727    9056.63768     104847.67351   4558.10244     1861.82219     8768.11951     1034.66790     188733.88522   166624.55050   518244.37477   2735.71281     4915.48981     0.0000000e+00  0.0000000e+00  0.0000000e+00  7443.39127     32685.46946    20483.60906    52.79628       47738.00297    199230.23538   295958.68299   91085.51885    101552.77689   17492.48599    97048.16110    478848.43370   76262.12573    102222.02023   272654.38960   68551.43234    9356.00001     
