      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 524.77884      519.46710      492.87162      638.33015      453.88351      565.55240      655.22906      602.89927      623.07343      579.41986      593.53656      409.22750      530.19535      408.08404      570.09411      717.54652      599.13799      423.08311      441.47569      741.21407      593.37452      658.64885      541.78864      630.04585      629.34537      601.28560      411.06676      480.27479      392.89485      688.54941      574.30421      470.92722      350.33208      675.20059      550.89237      529.59761      592.46232      625.85972      621.08246      597.95767      570.55346      504.39646      578.96401      623.92789      626.80285      381.54421      
1957 09 30 534.98146      526.64295      520.36202      656.21607      479.70041      585.77584      672.47912      627.22164      633.42116      587.36897      617.13389      415.97755      556.20999      454.91646      574.55512      728.76281      615.63970      461.43946      464.68891      768.96340      628.33539      684.92892      569.84158      648.44368      669.53163      632.02516      442.18169      489.16700      391.62452      705.87409      605.19274      488.08947      380.51544      686.39904      563.83172      552.78412      608.92079      636.06624      635.49104      608.71575      606.62499      527.72510      587.48978      632.09518      636.50098      417.36412      
1958 09 30 589.46141      536.01643      536.60992      716.66050      480.72330      618.48770      730.54473      682.47335      722.79733      651.70000      690.21339      423.57303      513.93126      397.26262      652.79246      839.58046      687.58344      450.94442      476.46373      783.88837      609.00949      684.76319      541.32520      666.40149      609.94068      637.29568      375.00673      473.65149      378.09696      755.73418      569.74437      490.43211      327.19399      784.12103      597.90838      544.71172      625.59317      711.62306      706.58043      683.83572      662.64286      560.31500      672.20039      724.85586      733.67492      396.59962      
1959 09 30 557.36285      568.04615      560.51474      700.34026      516.90703      630.97885      718.00059      662.67388      660.19855      615.85227      651.42445      441.76008      619.73664      510.33509      598.03217      763.03819      640.78731      478.67563      484.54376      865.12580      720.44669      761.13926      635.07630      706.79232      784.62422      702.12198      496.58333      521.22239      406.33305      766.09788      678.61084      522.73246      403.98016      719.72295      596.34917      595.63519      656.94390      667.53420      674.54965      641.78635      636.83212      550.07891      610.56886      656.44469      655.98674      430.49866      
1960 09 30 533.19276      540.95556      536.52302      665.58469      493.43720      601.49352      683.65085      633.88837      633.01801      593.96381      629.53355      423.80835      612.78770      508.70003      575.45945      726.57664      616.19889      467.21769      467.18096      847.39658      715.02394      737.28814      617.47640      678.09809      780.75076      682.16481      492.45810      509.11580      394.41328      739.52406      666.32341      506.20722      393.32031      684.24561      572.98759      572.91969      634.02234      633.75886      641.27899      611.72040      607.85222      525.44150      580.17760      627.50346      627.47666      411.76777      
1961 09 30 566.94905      547.12941      549.63005      710.03395      502.10339      624.65014      724.71273      672.05733      685.84590      622.54000      658.31479      417.75526      551.25211      441.00730      619.35224      803.56592      660.07837      462.19299      473.47145      828.37468      667.18585      713.83323      574.28995      675.13748      705.95222      653.31702      426.19972      483.16174      380.99171      751.26191      616.85368      495.72658      349.52632      751.95557      593.10535      560.36622      635.41840      690.00094      691.33144      662.09602      642.67942      554.29546      638.24251      686.24541      692.43249      416.87482      
1962 09 30 554.54285      565.35449      569.85100      694.24256      529.00724      632.76466      715.56017      667.46748      652.46229      612.27236      640.33321      445.93082      633.69697      540.95873      593.66846      749.60576      640.75843      497.84946      493.52728      857.38285      749.03495      746.85338      639.36475      694.81932      784.37215      697.05668      538.34189      524.64706      411.59269      751.06035      685.13913      536.36886      428.14519      710.62950      607.14265      600.67580      662.82257      660.47713      669.00642      638.33086      627.16429      557.06009      598.09842      647.12981      648.69204      447.30812      
1963 09 30 563.02913      556.39343      553.72767      702.80911      510.36687      627.10229      721.63661      674.38657      684.65849      631.12521      666.95386      438.32700      597.16225      487.02240      618.80950      790.28586      665.64104      485.59084      488.75950      841.39157      696.29970      743.38013      609.10241      702.15175      734.30271      684.64022      467.98530      517.80706      407.88135      764.33218      652.38467      517.87243      387.93461      738.95267      602.02471      585.53412      654.50359      677.41950      679.10689      653.47189      642.50330      558.65192      626.99826      681.73041      687.57579      434.39679      
1964 09 30 568.33197      599.90127      623.55361      742.63673      591.31054      686.69892      761.94917      715.21722      676.24277      632.34170      653.20954      479.77566      699.27592      624.58442      608.18149      772.34216      674.42957      560.67958      541.38988      933.04132      822.30005      816.60919      698.86028      747.98049      882.14038      761.05577      608.48716      564.09634      438.82996      795.46158      753.72423      579.97487      498.47684      737.58283      639.01251      649.34824      707.27436      690.21241      704.97462      669.05040      646.24033      600.87183      614.27341      666.56871      665.74275      505.03768      
1965 09 30 568.50024      558.21565      554.69909      692.30112      500.79121      619.29131      711.47016      664.95684      683.06797      628.94775      666.00720      424.49558      579.49890      464.96444      615.82349      779.20293      659.74763      475.26308      486.37119      790.57197      654.53639      706.33367      596.39807      672.18427      669.35675      658.42102      455.40359      505.67006      399.91481      743.21958      626.54437      508.68929      379.33934      735.21626      595.97483      574.28904      642.83566      676.65146      677.86963      651.68583      641.59395      553.05102      627.53056      680.30563      681.04186      419.98584      
