       Date Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1956 09 30 276.24341      547.35586      759.83033      855.88872      829.07721      800.17246      798.61621      788.70305      821.99195      611.57925      416.87166      885.76645      789.82382      958.93037      642.81389      851.28121      843.37485      895.55219      945.95978      564.42030      663.93448      317.20476      314.47877      227.00955      478.68705      552.95680      814.76142      826.57515      912.65600      508.20951      327.72006      836.35246      952.27383      774.55419      651.25654      229.07967      569.75270      808.19935      791.89977      805.13389      336.58827      821.88387      841.18451      792.17034      847.77445      818.60857      
1957 09 30 359.19561      513.79675      592.37377      678.55531      649.00432      642.28809      643.42281      652.15187      711.66462      648.92055      464.19260      782.58368      817.08814      785.37519      583.24622      703.77958      689.01785      716.82045      776.87649      516.46729      563.76967      382.36572      430.94550      343.20719      463.03836      528.03779      701.51204      917.58053      1023.36435     542.81194      408.67265      723.95049      789.01882      686.27934      603.84402      358.63942      559.21881      665.04932      654.88685      664.41430      419.34834      666.08417      711.95919      696.16557      702.64484      678.38075      
1958 09 30 207.67438      328.39380      435.26886      543.11281      517.82230      503.19441      506.90155      508.47751      554.13876      479.38243      309.66536      624.45467      585.68665      624.24182      429.04522      549.39574      542.68823      581.76111      645.68916      321.11027      378.88447      224.77845      267.92220      210.19489      258.16595      352.84830      532.39613      683.18567      786.34264      353.38070      238.63909      570.20160      640.79224      543.39379      445.25605      217.80284      381.21027      522.13260      518.54893      525.96826      265.39546      521.94823      559.92004      534.32959      538.33030      550.78792      
1959 09 30 467.68551      667.45304      827.86909      929.57417      917.83715      883.31747      891.99854      897.32307      944.45158      821.40917      527.72535      980.98901      954.45803      1054.08761     761.79916      934.81517      932.42302      971.50613      1052.24225     604.20368      688.19243      395.20516      485.04119      362.06224      507.62573      599.71981      897.08314      1052.67779     1222.65888     629.27498      465.08841      950.24013      1051.68635     925.26653      791.44819      417.80869      690.68177      909.76088      910.56827      885.35185      566.78013      934.62292      967.65897      920.33459      947.74085      975.59429      
1960 09 30 372.30426      560.22198      658.18072      780.88649      743.50423      723.51561      729.23186      720.88089      774.10665      687.26446      465.20035      868.65676      876.54690      839.70938      637.03855      759.43774      751.38727      801.61541      866.06832      483.85875      538.80288      375.88795      429.45873      337.65679      415.49420      584.53968      746.87389      1012.73658     1121.74485     537.70532      405.37514      794.13517      882.59853      764.20277      637.47046      352.11797      572.31055      756.13173      738.76059      743.45249      447.23522      750.02755      800.95619      747.15448      770.99503      779.65445      
1961 09 30 405.94756      604.57151      724.41078      815.28542      801.10475      790.27725      791.48887      799.24279      866.38955      785.20105      562.55963      983.29065      981.77616      994.14448      709.01317      843.21834      844.55780      896.40171      975.14755      589.78924      649.93182      485.15919      522.76392      431.84299      515.11801      692.56472      875.74022      1124.85554     1236.97519     654.11066      499.31887      912.62780      999.90760      841.07091      729.72637      438.27854      668.71256      816.50168      815.11162      820.44743      505.73926      822.67375      875.08202      832.07045      849.05925      841.89600      
1962 09 30 289.07103      439.91550      585.10280      682.66438      683.52727      664.14283      673.85867      684.60797      764.31706      615.67895      367.43085      777.11465      692.25909      783.14937      623.04916      743.28196      764.85204      780.19519      843.58308      419.45517      480.03622      287.07765      329.41491      258.86948      338.91397      427.94042      643.50605      841.68568      1008.28215     439.77607      304.84154      725.51300      810.43266      721.37140      586.54679      268.83008      491.53151      698.93320      689.16417      697.98351      368.54767      707.24003      785.07609      760.32628      758.27125      732.34382      
1963 09 30 261.72913      410.68218      463.26424      560.74951      537.10299      520.78053      535.42775      520.91976      587.52935      525.65506      346.37662      677.69876      646.77768      639.77776      491.66195      564.63135      566.00462      606.62727      671.48237      338.25515      387.76975      250.59189      292.43141      216.56717      285.48977      422.00850      572.02278      784.40012      867.99447      390.05115      281.21574      609.30892      686.80882      559.94605      484.56069      243.16304      426.71452      545.61189      536.86719      548.03230      319.18358      553.08746      592.83243      565.37772      566.62575      573.34128      
1964 09 30 460.12541      642.37577      828.02182      964.12615      931.10816      916.58401      923.61178      933.75433      1002.54392     839.59716      581.14641      1045.48288     998.97479      1055.08107     797.52248      995.21761      988.35589      1022.78691     1091.45263     633.40479      704.33609      504.05796      555.44670      462.40665      559.88622      686.78332      919.90224      1154.28446     1323.41474     682.21636      512.17713      998.82235      1073.02895     984.25405      805.70234      468.56343      700.71255      957.18412      945.36214      942.70666      546.84577      962.23595      1033.15991     971.86790      1014.10284     986.78527      
1965 09 30 434.99661      591.74069      687.24439      831.61332      768.07843      758.97882      761.58471      760.15776      825.89302      704.05188      515.51575      849.11797      843.34221      839.37453      659.65460      792.43841      794.55203      822.50699      879.89486      558.93343      609.26577      470.65235      505.28187      438.88814      511.36069      597.99580      758.93071      978.99514      1070.53659     585.41664      493.00427      799.83403      839.07747      802.43676      678.07108      441.66828      609.29591      789.40189      777.69129      777.68519      477.80385      796.56620      849.98511      799.89158      827.45409      794.94357      
